HHRG,HHRG Description,Total Episodes,Distinct Beneficiaries,Total HHA Charge Amount,Average HHA Charge Amount,Total HHA Medicare Payment Amount,Average HHA Medicare Payment Amount
1CGM,"Early Episode, 0-13 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 3",122296,119428,390200289.00,3191.00,398582523.00,3259.00
1CGN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 4",33628,33316,122142532.00,3632.00,122918381.00,3655.00
1CGP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 5",95754,92727,394406760.00,4119.00,389789144.00,4071.00
1CHK,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",179360,156251,443383194.00,2472.00,471247684.00,2627.00
1CHL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",16077,15967,48922526.00,3043.00,47976455.00,2984.00
1CHM,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 3",49094,48113,168873684.00,3440.00,167307528.00,3408.00
1CHN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 4",14562,14410,57434273.00,3944.00,55226345.00,3792.00
1CHP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 5",44308,43168,189309572.00,4273.00,184289109.00,4159.00
2AFK,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",6477,6388,22501795.00,3474.00,21396612.00,3303.00
2AFL,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",5896,5777,21949037.00,3723.00,21888958.00,3713.00
2AFM,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",3744,3705,15392796.00,4111.00,15478286.00,4134.00
2AGK,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",33885,33338,125386628.00,3700.00,119167630.00,3517.00
2AGL,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2",31840,31057,126473326.00,3972.00,125567404.00,3944.00
2AGM,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 2,Service Severity Level 3",22550,22213,98990522.00,4390.00,99189839.00,4399.00
2AHK,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 3,Service Severity Level 1",21250,20960,82810332.00,3897.00,76533371.00,3602.00
2AHL,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 3,Service Severity Level 2",21254,20875,89723215.00,4221.00,86671202.00,4078.00
2AHM,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 3,Service Severity Level 3",16110,15914,74870416.00,4647.00,73888103.00,4586.00
2BFK,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",4634,4576,18125611.00,3911.00,17072751.00,3684.00
2BFL,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",3978,3923,16757898.00,4213.00,16267226.00,4089.00
2BFM,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",2566,2549,11740710.00,4575.00,11594788.00,4519.00
2BGK,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",37850,37240,153682683.00,4060.00,147272835.00,3891.00
2BGL,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",36969,35819,154896255.00,4190.00,159669050.00,4319.00
2BGM,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",26002,25419,119858299.00,4610.00,123848889.00,4763.00
2BHK,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",31479,31110,133754244.00,4249.00,124806013.00,3965.00
2BHL,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",32280,31442,143508333.00,4446.00,143299724.00,4439.00
2BHM,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",25242,24777,121831388.00,4827.00,124815084.00,4945.00
2CFK,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",2593,2561,11559842.00,4458.00,10945991.00,4221.00
2CFL,"Early Episode, 14-19 therapies,Clinical Severity Level 3, Functional Severity Level 1,Service Severity Level 2",2177,2150,10053951.00,4618.00,10191817.00,4682.00
2CFM,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",1281,1272,6343997.00,4952.00,6542381.00,5107.00
2CGK,"Early Episode, 14-19 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 1",27095,26644,124754864.00,4604.00,119784488.00,4421.00
2CGL,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",33587,30962,135873366.00,4045.00,164877872.00,4909.00
2CGM,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 3",20047,19362,97233001.00,4850.00,107752955.00,5375.00
2CHK,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",32854,32305,157759895.00,4802.00,148493526.00,4520.00
2CHL,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",36557,34827,170566875.00,4666.00,183819395.00,5028.00
2CHM,"Early Episode, 14-19 therapies,Clinical Severity Level 3, Functional Severity Level 3,Service Severity Level 3",28362,27461,146456994.00,5164.00,158291860.00,5581.00
3AFK,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",75752,43894,120297103.00,1588.00,103043703.00,1360.00
3AFL,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",1850,1818,4107821.00,2220.00,3277388.00,1772.00
3AFM,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",5721,5357,14595420.00,2551.00,12522521.00,2189.00
3AFN,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",1731,1651,5203444.00,3006.00,4478487.00,2587.00
3AFP,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5",4999,4521,16577587.00,3316.00,14978065.00,2996.00
3AGK,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",259739,142527,454558157.00,1750.00,436824452.00,1682.00
3AGL,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2",9823,9615,24642549.00,2509.00,20414550.00,2078.00
3AGM,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3",33661,30935,95818773.00,2847.00,82816295.00,2460.00
3AGN,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4",10292,9884,33629074.00,3267.00,28992058.00,2817.00
3AGP,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5",31973,28738,115648035.00,3617.00,101531993.00,3176.00
3AHK,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1",82262,50044,158263843.00,1924.00,154923000.00,1883.00
3AHL,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2",3413,3350,8923618.00,2615.00,7670002.00,2247.00
3AHM,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3",11640,10823,35284912.00,3031.00,31200000.00,2680.00
3AHN,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4",3490,3380,12018736.00,3444.00,10784717.00,3090.00
3AHP,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5",11659,10719,43731932.00,3751.00,40208738.00,3449.00
3BFK,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",76037,44660,155709280.00,2048.00,135699560.00,1785.00
3BFL,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",1484,1462,3803107.00,2563.00,3029517.00,2041.00
3BFM,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",3865,3671,11736225.00,3037.00,9911602.00,2564.00
3BFN,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4",1149,1113,3895480.00,3390.00,3400811.00,2960.00
3BFP,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",3211,2994,11777215.00,3668.00,10896904.00,3394.00
3BGK,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",313654,168345,684533509.00,2182.00,657700996.00,2097.00
3BGL,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",9711,9479,27319466.00,2813.00,22775484.00,2345.00
3BGM,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",31882,29381,102200051.00,3206.00,89598798.00,2810.00
3BGN,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",9447,9140,34508908.00,3653.00,30252118.00,3202.00
3BGP,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5",29240,26646,118349856.00,4048.00,105511736.00,3608.00
3BHK,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",124446,72606,285582607.00,2295.00,275001204.00,2210.00
3BHL,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",4426,4342,13207306.00,2984.00,11282583.00,2549.00
3BHM,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",14602,13609,48900328.00,3349.00,43637185.00,2988.00
3BHN,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4",4357,4202,16363437.00,3756.00,15087348.00,3463.00
3BHP,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5",14312,13182,59450268.00,4154.00,54957444.00,3840.00
3CFK,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",66250,39233,233036739.00,3518.00,154984024.00,2339.00
3CFL,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2",854,840,3086613.00,3614.00,2355184.00,2758.00
3CFM,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",2161,2088,8506277.00,3936.00,6967361.00,3224.00
3CFN,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 4",521,507,2203153.00,4229.00,1880735.00,3610.00
3CFP,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 5",1537,1447,7129666.00,4639.00,6262946.00,4075.00
3CGK,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 1",266522,143507,790204156.00,2965.00,722532489.00,2711.00
3CGL,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",7310,7132,26655952.00,3647.00,22015063.00,3012.00
3CGM,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 3",21333,19799,84478256.00,3960.00,73048611.00,3424.00
3CGN,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 4",6181,6025,27570558.00,4461.00,24002599.00,3883.00
3CGP,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 5",18647,17149,89665451.00,4809.00,79088124.00,4241.00
3CHK,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",245419,112575,790351998.00,3220.00,701482560.00,2858.00
3CHL,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",6517,6304,24899435.00,3821.00,20688683.00,3175.00
3CHM,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 3",19563,17587,82564433.00,4220.00,71377182.00,3649.00
3CHN,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 4",5298,5128,24284362.00,4584.00,21575202.00,4072.00
3CHP,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 5",16816,15223,84726823.00,5038.00,75811618.00,4508.00
4AFK,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",2463,2204,9360481.00,3800.00,8382198.00,3403.00
4AFL,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",2330,2052,9150251.00,3927.00,8758465.00,3759.00
4AFM,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",995,948,4343497.00,4365.00,4116757.00,4137.00
4AGK,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",16621,14958,67534192.00,4063.00,58548915.00,3523.00
4AGL,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,",17562,15248,74583387.00,4247.00,68263067.00,3887.00
4AGM,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3",9328,8607,43000097.00,4610.00,40545040.00,4347.00
4AHK,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1",2266,2123,9778430.00,4315.00,8842457.00,3902.00
4AHL,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2",2338,2148,10588612.00,4529.00,9950483.00,4256.00
4AHM,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3",1449,1393,7235486.00,4993.00,6781301.00,4680.00
4BFK,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",1903,1720,7659367.00,4025.00,7162752.00,3764.00
4BFL,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",1662,1491,7327930.00,4409.00,6812134.00,4099.00
4BFM,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",762,720,3583322.00,4703.00,3464147.00,4546.00
4BGK,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",21188,19159,92817225.00,4381.00,82031317.00,3872.00
4BGL,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",22103,19270,100697127.00,4556.00,94643731.00,4282.00
4BGM,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",11801,10958,57808588.00,4899.00,55830162.00,4731.00
4BHK,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",3372,3143,16216641.00,4809.00,14525687.00,4308.00
4BHL,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",3379,3079,16754614.00,4958.00,15586988.00,4613.00
4BHM,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",2183,2090,11625553.00,5325.00,11041622.00,5058.00
4CFK,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",1252,1155,5823311.00,4651.00,5418305.00,4328.00
4CFL,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2",1166,1059,5872590.00,5037.00,5689313.00,4879.00
4CFM,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",532,502,2859693.00,5375.00,2885626.00,5424.00
4CGK,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 1",21744,19553,110642488.00,5088.00,98668527.00,4538.00
4CGL,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",24013,20398,124489522.00,5184.00,122627275.00,5107.00
4CGM,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 3",13519,12119,74117579.00,5482.00,75055719.00,5552.00
4CHK,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",7156,6495,39980487.00,5587.00,35320880.00,4936.00
4CHL,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",7183,6176,41691469.00,5804.00,38434183.00,5351.00
4CHM,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 3",4119,3830,25876519.00,6282.00,24154485.00,5864.00
5AFK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 1,Functional Severity Level 1,Service Severity Level 1",7960,7275,42907581.00,5390.00,36738457.00,4615.00
5AGK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 1,Functional Severity Level 2,Service Severity Level 1",42425,40478,244925023.00,5773.00,208337075.00,4911.00
5AHK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 1,Functional Severity Level 3,Service Severity Level 1",59229,54208,363562623.00,6138.00,304603753.00,5143.00
5BFK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 2, Functional Severity Level 1,Service Severity Level 1",4543,4304,26555577.00,5845.00,22639966.00,4983.00
5BGK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 2, Functional Severity Level 2,Service Severity Level 1",38421,37164,237636826.00,6185.00,201843102.00,5253.00
5BHK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 2, Functional Severity Level 3,Service Severity Level 1",72114,66122,469426105.00,6510.00,396359677.00,5496.00
5CFK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 3, Functional Severity Level 1,Service Severity Level 1",3244,3018,20669477.00,6372.00,18325823.00,5649.00
5CGK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 1",31431,30298,209643470.00,6670.00,184689532.00,5876.00
5CHK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 3, Functional Severity Level 3,Service Severity Level 1",104984,89987,764940071.00,7286.00,648513898.00,6177.00
