HHRG,HHRG Description,Total Episodes,Distinct Beneficiaries,Total HHA Charge Amount,Average HHA Charge Amount,Total HHA Medicare Payment Amount,Average HHA Medicare Payment Amount
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",13950,13804,46732528.00,3350.00,46514104.00,3334.00
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",326089,303213,596460277.00,1829.00,713481524.00,2188.00
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",51336,51069,116873294.00,2277.00,131913332.00,2570.00
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",146639,144302,394196025.00,2688.00,430010561.00,2932.00
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",39389,39190,122511702.00,3110.00,128910120.00,3273.00
1BGP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5",104730,102988,369765693.00,3531.00,377767140.00,3607.00
1BHK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",74572,70019,149084122.00,1999.00,177759898.00,2384.00
1BHL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",10555,10518,25847301.00,2449.00,28847437.00,2733.00
1BHM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",33303,32921,95718918.00,2874.00,102562843.00,3080.00
1BHN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4",9818,9775,32752021.00,3336.00,33430572.00,3405.00
1BHP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5",30678,30294,114183309.00,3722.00,113824916.00,3710.00
1CFK,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",156703,140748,356067427.00,2272.00,324844617.00,2073.00
1CFL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2",5387,5376,14742956.00,2737.00,13320583.00,2473.00
1CFM,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",13484,13359,42141931.00,3125.00,39453816.00,2926.00
1CFN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 4",3245,3232,11528893.00,3553.00,10999101.00,3390.00
1CFP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 5",8444,8332,32785767.00,3883.00,32339347.00,3830.00
1CGK,"Early Episode, 0-13 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 1",487026,427364,1072771302.00,2203.00,1189281210.00,2442.00
1CGL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",42145,41849,117262679.00,2782.00,119686860.00,2840.00
1CGM,"Early Episode, 0-13 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 3",125059,122163,399569069.00,3195.00,410358145.00,3281.00
1CGN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 4",33584,33303,120842793.00,3598.00,123567048.00,3679.00
1CGP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 5",97310,94319,381176119.00,3917.00,397230506.00,4082.00
1CHK,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",176802,153269,436258515.00,2467.00,470689204.00,2662.00
1CHL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",15287,15207,46095026.00,3015.00,46113375.00,3017.00
1CHM,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 3",46901,45909,160397887.00,3420.00,162028564.00,3455.00
1CHN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 4",13601,13497,52744892.00,3878.00,52271443.00,3843.00
1CHP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 5",42374,41379,181656239.00,4287.00,177866307.00,4198.00
2AFK,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",7297,7179,25020156.00,3429.00,24371214.00,3340.00
2AFL,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",6575,6445,24329939.00,3700.00,24582227.00,3739.00
2AFM,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",4075,4030,16514467.00,4053.00,16920921.00,4152.00
2AGK,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",32659,32205,119445936.00,3657.00,115756119.00,3544.00
2AGL,"Early Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2",30988,30237,120781865.00,3898.00,123385799.00,3982.00
2AGM,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 2,Service Severity Level 3",21748,21387,94499294.00,4345.00,96429857.00,4434.00
2AHK,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 3,Service Severity Level 1",16639,16482,64156761.00,3856.00,60663565.00,3646.00
2AHL,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 3,Service Severity Level 2",16719,16460,70128189.00,4195.00,69064996.00,4131.00
2AHM,"Early Episode, 14-19 therapies,Clinical Severity Level 1,  Functional Severity Level 3,Service Severity Level 3",13097,12965,60531356.00,4622.00,60564686.00,4624.00
2BFK,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",5661,5602,21677283.00,3829.00,21062081.00,3721.00
2BFL,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",5013,4934,20683024.00,4126.00,20651086.00,4120.00
2BFM,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",3065,3045,13786550.00,4498.00,13858983.00,4522.00
2BGK,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",38554,38018,154233242.00,4000.00,151242816.00,3923.00
2BGL,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",39620,38194,160062713.00,4040.00,173358702.00,4376.00
2BGM,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",27019,26298,122855631.00,4547.00,129786515.00,4804.00
2BHK,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",26131,25844,109940410.00,4207.00,104748947.00,4009.00
2BHL,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",26492,25992,117976483.00,4453.00,119156275.00,4498.00
2BHM,"Early Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",20614,20329,100490436.00,4875.00,102748773.00,4984.00
2CFK,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",3382,3340,14388029.00,4254.00,14430729.00,4267.00
2CFL,"Early Episode, 14-19 therapies,Clinical Severity Level 3, Functional Severity Level 1,Service Severity Level 2",2829,2781,12538824.00,4432.00,13249449.00,4683.00
2CFM,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",1667,1651,8352206.00,5010.00,8567948.00,5140.00
2CGK,"Early Episode, 14-19 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 1",30626,30094,136638151.00,4462.00,136561527.00,4459.00
2CGL,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",38220,34944,150502390.00,3938.00,190004625.00,4971.00
2CGM,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 3",23414,22252,106428977.00,4546.00,127014999.00,5425.00
2CHK,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",29793,29313,146057230.00,4902.00,136477254.00,4581.00
2CHL,"Early Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",32900,31531,168606396.00,5125.00,168154431.00,5111.00
2CHM,"Early Episode, 14-19 therapies,Clinical Severity Level 3, Functional Severity Level 3,Service Severity Level 3",24149,23601,128608878.00,5326.00,135453628.00,5609.00
3AFK,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",92409,53424,159651969.00,1728.00,127068848.00,1375.00
3AFL,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",1996,1958,4303560.00,2156.00,3537687.00,1772.00
3AFM,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",6119,5796,15398791.00,2517.00,13459086.00,2200.00
3AFN,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",1760,1710,5098474.00,2897.00,4613006.00,2621.00
3AFP,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5",5748,5181,18807859.00,3272.00,17391862.00,3026.00
3AGK,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",251474,139441,441019326.00,1754.00,428018057.00,1702.00
3AGL,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2",8921,8755,21967434.00,2462.00,18626455.00,2088.00
3AGM,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3",30593,28295,87221000.00,2851.00,75848966.00,2479.00
3AGN,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4",9495,9128,30462516.00,3208.00,26998019.00,2843.00
3AGP,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5",30004,26950,108068797.00,3602.00,96214887.00,3207.00
3AHK,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1",75211,46065,146344102.00,1946.00,143522830.00,1908.00
3AHL,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2",2938,2887,7643005.00,2601.00,6751054.00,2298.00
3AHM,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3",9943,9361,30065250.00,3024.00,27011891.00,2717.00
3AHN,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4",3128,3027,10633205.00,3399.00,9818997.00,3139.00
3AHP,"Late Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5",10305,9516,39013086.00,3786.00,35942901.00,3488.00
3BFK,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",100057,58153,198415085.00,1983.00,177744465.00,1776.00
3BFL,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",1694,1670,4263991.00,2517.00,3493936.00,2063.00
3BFM,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",4771,4533,14050729.00,2945.00,12162270.00,2549.00
3BFN,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4",1383,1341,4614815.00,3337.00,4133329.00,2989.00
3BFP,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",4032,3697,14482859.00,3592.00,13777882.00,3417.00
3BGK,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",325937,175580,708232866.00,2173.00,684916610.00,2101.00
3BGL,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",9378,9175,26382327.00,2813.00,22092483.00,2356.00
3BGM,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",31030,28758,99490056.00,3206.00,87205916.00,2810.00
3BGN,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",9211,8904,33166499.00,3601.00,29575783.00,3211.00
3BGP,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5",29222,26639,116139620.00,3974.00,106041165.00,3629.00
3BHK,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",121530,71164,277559007.00,2284.00,271356049.00,2233.00
3BHL,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",3957,3883,11584392.00,2928.00,10233579.00,2586.00
3BHM,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",13193,12388,44130115.00,3345.00,40008156.00,3033.00
3BHN,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4",3985,3869,14702917.00,3690.00,13691273.00,3436.00
3BHP,"Late Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5",13061,12054,53823984.00,4121.00,50654491.00,3878.00
3CFK,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",84377,48826,236907384.00,2808.00,199941785.00,2370.00
3CFL,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2",1038,1024,3623999.00,3491.00,2819124.00,2716.00
3CFM,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",2727,2625,10442143.00,3829.00,8756914.00,3211.00
3CFN,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 4",691,684,2806581.00,4062.00,2488096.00,3601.00
3CFP,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 5",2032,1927,9158084.00,4507.00,8359590.00,4114.00
3CGK,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 1",288011,151953,833228994.00,2893.00,782598615.00,2717.00
3CGL,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",7386,7241,25903382.00,3507.00,22196769.00,3005.00
3CGM,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 3",22224,20705,87112264.00,3920.00,76021113.00,3421.00
3CGN,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 4",6334,6180,27524653.00,4346.00,24467057.00,3863.00
3CGP,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 5",19842,18244,95284732.00,4802.00,85482402.00,4308.00
3CHK,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",253733,114554,828658675.00,3266.00,732949027.00,2889.00
3CHL,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",6064,5887,22718330.00,3746.00,19508106.00,3217.00
3CHM,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 3",18698,17093,78090033.00,4176.00,68552360.00,3666.00
3CHN,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 4",5231,5073,24156194.00,4618.00,21656540.00,4140.00
3CHP,"Late Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 5",16732,15173,83483327.00,4989.00,76237776.00,4556.00
4AFK,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",2568,2316,9570070.00,3727.00,8860517.00,3450.00
4AFL,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",2539,2222,9880459.00,3891.00,9636000.00,3795.00
4AFM,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",1207,1112,5151951.00,4268.00,5029826.00,4167.00
4AGK,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",14311,12965,56512292.00,3949.00,50782314.00,3548.00
4AGL,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2,",15525,13726,64682441.00,4166.00,61240354.00,3945.00
4AGM,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3",8388,7733,37843962.00,4512.00,36716393.00,4377.00
4AHK,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1",1820,1721,7665297.00,4212.00,7178388.00,3944.00
4AHL,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2",2057,1896,9528624.00,4632.00,8808763.00,4282.00
4AHM,"Late Episode, 14-19 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3",1256,1214,6325270.00,5036.00,5908372.00,4704.00
4BFK,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",2203,1981,9034906.00,4101.00,8416322.00,3820.00
4BFL,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",1990,1832,8446720.00,4245.00,8280477.00,4161.00
4BFM,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",980,927,4496359.00,4588.00,4484373.00,4576.00
4BGK,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",19609,17927,83525859.00,4260.00,76671207.00,3910.00
4BGL,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",22479,19564,96119295.00,4276.00,97714843.00,4347.00
4BGM,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",12260,11256,56534021.00,4611.00,58920807.00,4806.00
4BHK,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",2896,2709,13215612.00,4563.00,12423869.00,4290.00
4BHL,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",3028,2822,15047461.00,4969.00,14238613.00,4702.00
4BHM,"Late Episode, 14-19 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",1795,1732,9852880.00,5489.00,9199847.00,5125.00
4CFK,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",1712,1604,7818013.00,4567.00,7656319.00,4472.00
4CFL,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2",1463,1340,7004188.00,4788.00,7417387.00,5070.00
4CFM,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",675,650,3432511.00,5085.00,3584188.00,5310.00
4CGK,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 1",22008,19792,107360264.00,4878.00,100782909.00,4579.00
4CGL,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",28443,23622,132148099.00,4646.00,145987336.00,5133.00
4CGM,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 3",14925,13209,73807388.00,4945.00,83355467.00,5585.00
4CHK,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",6609,6035,35471841.00,5367.00,32982652.00,4991.00
4CHL,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",6572,5753,38352705.00,5836.00,35922081.00,5466.00
4CHM,"Late Episode, 14-19 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 3",3958,3701,24816218.00,6270.00,23134045.00,5845.00
5AFK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 1,Functional Severity Level 1,Service Severity Level 1",8729,8014,46630156.00,5342.00,40561206.00,4647.00
5AGK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 1,Functional Severity Level 2,Service Severity Level 1",44667,42839,256615627.00,5745.00,220640336.00,4940.00
5AHK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 1,Functional Severity Level 3,Service Severity Level 1",47759,43710,292486528.00,6124.00,246831912.00,5168.00
5BFK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 2, Functional Severity Level 1,Service Severity Level 1",5547,5243,31836888.00,5739.00,27793758.00,5011.00
5BGK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 2, Functional Severity Level 2,Service Severity Level 1",43284,41871,265494351.00,6134.00,228950730.00,5290.00
5BHK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 2, Functional Severity Level 3,Service Severity Level 1",61785,56780,402019338.00,6507.00,341886570.00,5533.00
5CFK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 3, Functional Severity Level 1,Service Severity Level 1",4029,3741,25528646.00,6336.00,22828307.00,5666.00
5CGK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 1",38215,36708,250735689.00,6561.00,226110539.00,5917.00
5CHK,"Early or Late Episode, 20+ therapies,Clinical Severity Level 3, Functional Severity Level 3,Service Severity Level 1",100166,85416,722556560.00,7214.00,623385566.00,6224.00
