Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of  ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
17054,GENTIVA HEALTH SERVICES,1108 EAST PARK DRIVE,BIRMINGHAM,AL,35235,1016,695,20.2,7.1,9.1,2.1,0.5,1.4,0.1,3765759,3282052,3906793,0.1,79,27438,77,235,460,582,113,496,189,,,0,,2.20,19,41,18,14,42,49,24,41,41,61,,48,18,61,8,15
17055,GENTIVA HEALTH SERVICES,1988 HIGHWAY 14 EAST,PRATTVILLE,AL,36066,600,389,19.5,5.9,8.6,1.9,0.3,2.7,0.2,2038086,1734198,2175879,0.1,94,25794,76,156,233,337,52,304,81,,,0,,1.87,20,29,22,11,38,41,29,31,42,66,,51,13,59,7,12
17056,GENTIVA HEALTH SERVICES,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,AL,36064,890,514,20.4,5.7,9.7,1.5,0.3,3.1,0.1,3144448,2694661,3408733,0.0,85,26441,78,176,338,424,90,302,204,,,0,,2.11,20,37,20,15,40,48,28,27,47,63,,50,15,64,8,18
17058,GENTIVA HEALTH SERVICES,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,AL,36526,964,604,18.2,6.5,8.0,2.4,0.3,0.8,0.2,3245222,2700312,3532026,0.0,57,17518,79,185,419,535,69,543,52,,,,,1.88,21,40,21,15,35,42,25,34,36,60,,52,17,61,9,13
17063,INTREPID USA HEALTHCARE SERVICES,"200 CENTURY PARK SOUTH, SUITE 116",BIRMINGHAM,AL,35226,515,287,19.2,8.6,5.7,1.2,0.9,3.0,0.1,1675860,1349654,1643156,0.1,46,14016,75,109,178,189,98,205,80,,0,0,,2.56,17,35,25,12,49,52,37,31,52,63,,59,12,60,12,14
17066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,AL,36607,1248,638,19.8,9.3,5.6,0.4,0.2,4.2,0.2,3053905,2953858,3703898,1.0,128,37468,79,243,395,544,94,501,126,,,,,2.18,26,43,21,21,43,48,25,23,43,65,,58,11,51,6,16
17067,INTREPID USA HEALTHCARE SERVICES,"4141 WALL STREET, SUITE 4141",MONTGOMERY,AL,36106,364,201,15.5,8.1,3.3,3.0,0.1,1.1,0.1,1046864,899213,1112632,0.0,54,15690,73,75,126,142,59,85,113,0,,0,,2.79,20,33,23,13,47,54,32,30,57,59,,53,8,56,10,13
17069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,AL,36535,1899,966,17.8,7.9,4.5,2.0,0.9,1.8,0.6,5666575,4552738,5932683,0.2,132,40257,76,353,613,777,189,840,100,,,15,,2.14,23,37,21,13,39,39,32,41,40,58,,59,13,67,10,12
17070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,AL,36522,775,326,15.6,7.9,4.1,2.4,0.3,1.0,0.0,2072394,1835018,2349185,0.0,50,14659,75,134,192,229,97,251,74,0,,0,,1.93,23,30,19,13,48,38,27,21,48,58,,62,6,69,4,12
17071,GENTIVA HEALTH SERVICES,20 ALMON DRIVE SUITE C,MOULTON,AL,35650,6508,3143,20.1,8.1,6.7,2.3,0.3,2.5,0.1,23291748,18370800,22989442,0.3,663,182275,78,1112,2031,2337,806,2798,314,,,0,11,2.04,20,36,24,12,41,44,35,35,45,64,,51,14,64,8,13
17072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,AL,36037,425,197,16.1,7.9,4.5,0.8,0.0,2.7,0.2,1097646,952501,1216345,0.0,30,7694,74,65,132,102,95,113,81,,,0,,2.30,15,34,26,13,43,44,37,36,51,54,,59,8,66,10,13
17078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,AL,35481,914,441,18.0,9.4,4.6,1.0,0.7,2.1,0.1,2663278,2253283,2797711,0.1,105,28188,75,153,288,278,163,288,149,0,0,,,1.94,16,36,24,15,38,42,37,27,46,62,,49,7,68,11,11
17079,LAMAR HOME CARE INC,"131 1ST AVENUE NW, SUITE B",VERNON,AL,35592,136,78,19.3,7.3,3.6,0.0,0.0,8.4,0.0,264739,284393,365092,0.2,11,3710,76,19,59,44,34,73,,0,,0,0,2.10,31,32,24,14,54,55,45,40,54,55,,53,12,55,10,8
17080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,AL,35401,1946,1158,16.2,7.8,3.7,0.9,0.4,3.4,0.0,5283391,4786421,5546217,0.3,254,81530,76,410,748,878,280,788,359,,,0,,2.37,23,32,28,18,44,51,36,39,47,75,,52,14,71,9,16
17082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,AL,35042,403,107,13.9,9.3,1.3,0.0,0.0,3.2,0.0,645128,699732,823386,0.1,16,5358,73,42,65,54,53,73,32,0,,0,,2.38,11,30,29,13,43,48,36,36,46,65,,49,13,49,6,8
17084,GENTIVA HOME HEALTH SERVICES,200 CENTRAL PARK PLACE,SELMA,AL,36701,635,358,16.5,7.1,5.5,2.1,0.3,1.3,0.2,1902149,1640319,2109520,0.1,63,18479,73,154,204,176,182,107,247,,0,0,,2.76,11,30,20,13,54,57,28,23,58,63,,64,6,56,10,19
17085,COOSA VALLEY HOMECARE,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,455,282,17.6,8.5,6.3,1.9,0.2,0.8,0.0,1691508,1217914,1546307,1.4,59,16605,76,94,188,177,105,222,58,0,,0,,1.94,20,27,26,11,48,41,35,24,43,53,,52,7,58,4,17
17086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,AL,36726,377,207,14.9,8.4,5.9,0.0,0.4,0.2,0.1,1207422,889472,1143481,0.0,20,6316,74,79,128,97,110,57,150,0,0,0,0,2.09,10,37,17,8,37,43,19,14,55,40,,40,4,55,8,14
17088,FAYETTE MEDICAL CENTER HOMECARE,1653 TEMPLE AVENUE,FAYETTE,AL,35555,745,301,16.8,8.3,3.9,3.9,0.1,1.0,0.1,2597627,1845567,2365912,0.3,60,17871,77,118,183,200,101,254,43,0,,0,,2.21,20,36,32,18,60,51,45,29,49,57,,54,8,64,9,9
17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,1792 ALABAMA HWY 157 NE,CULLMAN,AL,35058,342,270,12.6,6.2,4.9,1.1,0.0,0.4,0.0,655645,752397,967273,0.2,63,20737,77,111,159,214,56,268,,,0,0,0,1.80,20,17,18,16,49,36,27,28,45,65,,46,17,67,3,9
17090,GENTIVA HEALTH SERVICES,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,AL,36908,734,361,20.8,9.8,5.8,0.0,0.0,5.2,0.0,2296602,1745742,2247184,0.1,31,8160,76,129,232,207,154,173,186,0,,0,,2.06,19,39,17,11,47,45,29,25,54,57,,52,8,66,11,11
17091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,AL,36744,453,200,19.4,6.9,5.2,0.4,0.0,6.9,0.0,946379,1175455,1382685,0.0,38,9586,76,57,143,89,111,63,137,0,0,0,0,1.98,13,32,22,12,46,48,31,30,48,59,,45,9,,10,14
17092,MEDICAL CENTER HOME HEALTH,194 WILLIAM EAST HILL DRIVE,CARROLLTON,AL,35447,267,153,18.9,8.6,3.2,0.3,0.2,6.7,0.0,500033,546469,677858,0.0,31,8037,76,54,99,97,56,88,64,0,0,,,2.12,22,31,24,12,44,42,35,29,49,,,44,9,54,8,14
17093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,AL,35968,276,106,14.6,8.3,3.6,0.0,0.1,2.6,0.0,625586,557043,723833,0.0,20,5576,75,40,66,69,37,103,,0,,0,0,2.02,18,21,22,15,41,42,33,33,49,64,,59,7,52,8,9
17094,CHEROKEE HOME HEALTH,"704 CHEROKEE PLAZA, SUITE 9",CENTRE,AL,35960,456,193,18.9,8.1,5.7,1.7,0.0,3.1,0.3,1356970,1096432,1413834,0.0,17,5154,76,75,118,146,47,186,,0,0,0,,2.21,27,38,35,11,51,56,47,38,48,65,,63,7,56,8,10
17095,ATHENS-LIMESTONE HOMECARE,"725 WEST MARKET STREET, SUITE A",ATHENS,AL,35611,843,521,16.9,8.6,5.2,1.9,0.7,0.5,0.1,3082845,2464137,2813631,0.1,60,22882,77,173,348,385,136,465,51,0,,0,,2.06,21,28,23,12,43,43,35,31,49,65,,49,16,62,5,13
17096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,798 HIGHWAY 231 SOUTH,TROY,AL,36081,566,296,15.1,8.3,4.6,1.8,0.0,0.5,0.1,1836298,1295458,1669955,0.0,58,17226,75,103,193,182,114,187,106,,,0,0,2.12,18,30,28,8,43,47,34,28,56,71,,53,16,56,13,11
17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,AL,36251,539,268,13.7,8.3,3.0,1.7,0.0,0.7,0.0,1523544,1156677,1492625,0.0,50,14186,76,100,168,161,107,224,41,0,,0,,2.26,20,27,27,12,54,40,41,32,43,63,,63,8,64,4,12
17100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2",HAMILTON,AL,35570,415,179,20.0,7.9,5.4,3.9,2.1,0.9,0.2,1734458,1212425,1569167,0.2,48,13394,76,58,121,128,51,171,,0,0,,,2.04,13,29,28,16,47,43,40,31,44,53,,55,14,49,6,12
17101,HEALTH NOW HOME HEALTH,751 DERBY DRIVE,YORK,AL,36925,121,43,10.9,7.8,0.0,0.0,0.0,3.1,0.0,237150,188795,247428,0.0,,,76,15,28,16,27,,38,0,0,0,,2.22,14,19,28,9,60,37,33,14,67,63,,42,2,63,7,5
17102,ALABAMA HOMECARE,"607 WILSON AVENUE, SUITE 3",EUTAW,AL,35462,110,84,12.1,8.5,3.2,0.0,0.3,0.2,0.0,303118,232173,280144,0.0,21,6275,77,41,43,33,51,14,70,0,0,0,0,2.11,10,33,29,15,48,45,32,20,52,60,,39,6,62,7,18
17103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,327,138,15.4,9.0,2.2,0.1,0.1,4.0,0.0,481691,573923,731761,0.0,59,16550,74,49,89,64,74,52,86,0,0,0,0,2.20,14,29,21,10,49,43,32,24,63,70,,56,4,66,7,9
17104,HIGHLANDS HOME HEALTH,309 PARKS AVENUE,SCOTTSBORO,AL,35768,640,241,16.6,8.8,3.5,2.8,0.2,1.3,0.0,1360970,1467025,1885957,0.0,37,11216,77,86,155,156,85,228,11,0,,0,,2.55,22,29,27,14,51,53,40,46,52,57,,67,23,,9,15
17106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,AL,36401,319,164,16.0,7.9,3.2,0.0,0.0,5.0,0.0,713066,623742,801758,0.0,38,8948,76,63,101,104,60,102,62,0,0,0,0,2.08,21,27,29,11,58,30,51,21,49,45,,68,2,66,4,14
17107,SUNCREST HOME HEALTH,222 7TH STREET SOUTH,CLANTON,AL,35045,942,520,19.3,8.4,6.1,1.5,1.0,2.3,0.1,2617365,2674336,3179475,0.5,75,23663,77,179,341,418,102,466,50,,0,0,,2.31,21,30,28,13,50,56,40,38,43,69,,62,16,62,11,13
17109,NORTHWEST HOME HEALTH - HALEYVILLE,42030 HIGHWAY 195 SUITE D,HALEYVILLE,AL,35565,260,174,19.0,9.1,4.5,0.9,0.2,4.3,0.0,1027848,551745,713732,0.0,14,3718,78,53,121,94,80,172,,0,,0,0,1.77,14,34,36,9,42,35,61,48,43,62,,51,13,74,7,13
17112,JACKSON MEDICAL CENTER HOME HEALTH,3748N COLLEGE AVENUE,JACKSON,AL,36545,355,199,17.7,9.8,3.2,0.0,0.0,4.3,0.4,1157922,688325,883379,0.3,27,9187,78,97,102,153,46,143,56,0,0,0,0,1.72,20,31,10,12,40,37,22,14,40,46,,50,4,55,3,8
17115,GADSDEN REGIONAL HOME HEALTH,301 S 4TH STREET,GADSDEN,AL,35901,384,216,19.2,8.3,5.0,1.8,0.0,4.0,0.1,1120546,931236,1180977,0.0,32,10429,75,71,145,163,53,188,26,0,,0,,2.00,19,25,32,11,51,39,47,41,47,63,,63,12,66,8,17
17116,IVY CREEK HOME HEALTH OF ELMORE,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,668,356,18.8,8.4,5.0,0.7,0.7,4.0,0.0,1565811,1643372,2036369,0.0,70,19853,80,115,241,290,66,275,73,0,,0,,2.27,18,41,19,12,45,47,34,38,45,57,,54,18,72,8,17
17117,LAKE MARTIN HOME HEALTH,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",DADEVILLE,AL,36853,1767,579,10.7,6.2,1.6,0.9,0.2,1.7,0.0,2645525,3391198,4343353,0.1,119,35010,76,222,357,364,215,407,168,,,0,,2.17,20,34,27,10,48,50,44,31,47,51,,68,11,,7,14
17118,"AMEDISYS HH, A LAWRENCE MEDICAL CENTER PARTNER","15190 COURT STREET, SUITE B",MOULTON,AL,35650,376,200,16.6,7.8,5.6,0.2,0.0,2.8,0.2,993798,846901,1109452,0.0,50,14552,75,77,123,118,82,178,21,0,0,,,2.02,20,35,29,14,50,44,44,41,55,72,,54,12,65,12,11
17119,HUNTSVILLE HOSPITAL HOMECARE,"6767 OLD MADISON PIKE NW - BUILDING 4, SUITE 400",HUNTSVILLE,AL,35806,1382,968,15.6,7.1,5.3,2.3,0.6,0.3,0.1,4811134,3968501,4518907,0.0,169,57937,77,379,589,788,180,750,190,,12,,,2.19,22,28,21,18,40,51,28,30,42,64,,51,11,62,5,14
17121,GENTIVA HEALTH SERVICES,1309 ANTIOCH ROAD,ANDALUSIA,AL,36420,925,484,18.8,7.5,7.8,1.4,0.1,2.1,0.0,3116581,2523044,3265925,0.2,67,17290,75,170,314,317,167,418,60,0,,,,1.96,20,31,25,13,43,44,40,33,50,64,,53,12,66,10,20
17123,EAMC - LANIER HOME HEALTH,1806 44TH ST.,VALLEY,AL,36854,666,371,12.4,6.9,3.4,1.6,0.2,0.3,0.0,1819737,1468215,1886068,0.0,90,29081,77,137,234,253,118,269,98,0,0,,,2.03,19,29,25,11,45,41,38,25,50,55,,60,10,60,4,12
17124,DALE MEDICAL CTR HOME HEALTH,126 HOSPITAL AVENUE,OZARK,AL,36360,314,236,20.9,10.2,6.3,0.0,0.0,4.2,0.3,776517,710129,919129,0.3,30,8724,76,77,159,148,88,185,50,0,,0,,1.77,18,39,21,13,39,40,34,27,44,65,,51,18,61,8,6
17125,KELLER HOME CARE,116 4TH AVENUE SE,RED BAY,AL,35582,1461,584,17.2,8.5,4.4,3.6,0.2,0.8,0.0,5119005,3678489,4667595,0.0,92,29110,76,215,369,392,192,522,58,0,,0,,1.92,18,29,27,11,36,46,38,30,47,67,,53,10,64,6,9
17127,SOUTH BALDWIN REGIONAL HOME HEALTH,110 ELECIA LANE,FOLEY,AL,36535,447,282,16.5,8.4,4.7,1.3,0.8,1.2,0.1,1208527,1031129,1351642,0.6,35,9838,78,118,164,246,36,272,,,,0,,1.99,27,37,24,15,39,41,41,30,32,59,,59,13,58,8,12
17128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,AL,35976,1412,738,17.8,7.7,6.1,2.9,0.3,0.8,0.0,5233997,3832341,4935553,0.1,198,57203,76,265,473,499,239,722,,,,0,,2.19,18,31,28,11,48,45,45,35,43,61,,56,12,61,7,17
17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,"665 OPELIKA ROAD, SUITE 300",AUBURN,AL,36830,1111,718,13.8,7.1,4.4,1.3,0.4,0.8,0.0,3397901,2766507,3320151,0.0,156,54703,76,273,445,530,188,457,248,,,,,2.08,22,29,24,14,42,48,30,21,48,59,,54,11,56,4,13
17130,INFIRMARY HOMECARE,800 COLLEGE AVENUE,JACKSON,AL,36545,474,305,15.1,7.5,7.2,0.0,0.1,0.4,0.2,1563095,1156840,1497316,0.0,72,19250,74,128,177,193,112,185,119,,0,0,,1.96,20,29,20,10,44,40,31,22,50,51,,49,5,52,6,12
17132,BROOKDALE HOME HEALTH BIRMINGHAM,"1104 2ND AVE EAST, SUITE C",ONEONTA,AL,35121,478,291,23.2,9.1,7.2,4.8,2.1,0.2,0.0,1834398,1661593,1959178,0.1,29,9169,86,80,211,,,286,,0,,0,0,1.78,27,53,16,13,37,44,20,47,20,68,,48,33,73,8,15
17134,LHC HOMECARE OF SOUTH ALABAMA,700 BRANTLEY STREET,OPP,AL,36467,1570,796,15.7,8.3,5.1,1.2,0.4,0.9,0.0,5271108,3836211,4952766,0.1,184,50572,76,295,501,474,322,680,107,,,0,,1.91,18,32,30,11,40,41,39,29,48,62,,57,11,65,9,14
17135,COMMUNITY HOME CARE,1526 GILMER AVENUE,TALLASSEE,AL,36078,222,156,13.2,7.5,2.0,0.0,0.0,3.6,0.0,391041,423574,533501,0.0,28,9230,80,42,114,110,46,110,44,,0,0,,2.03,26,41,21,15,48,41,43,21,38,58,,54,18,62,8,13
17136,RELIABLE HOME HEALTH,435 MEETING AVENUE,GEORGIANA,AL,36033,338,158,15.6,7.7,3.3,0.0,0.0,4.6,0.0,838123,639721,824329,0.0,32,8803,76,59,99,71,87,89,67,0,,0,,1.99,15,41,22,11,51,39,46,16,55,44,,50,7,68,5,13
