HHRG,HHRG Description,State,Total Episodes,Distinct Beneficiaries,Average HHA Charge Amount,Average HHA Medicare Payment Amount,Average HHA Medicare Standard Payment Amount
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",WA,990,965,2053.00,1871.00,1745.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",WI,1095,1062,1761.00,1744.00,1771.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",WV,405,386,1375.00,1443.00,1739.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",WY,195,186,1481.00,1712.00,1765.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",AK,16,16,1668.00,2228.00,1909.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",AL,117,117,1648.00,1705.00,2110.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",AR,110,109,1950.00,1807.00,2094.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",AZ,234,232,1767.00,2103.00,2077.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",CA,1141,1140,2092.00,2639.00,2082.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",CO,302,302,1406.00,2086.00,2081.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",CT,264,264,1628.00,2363.00,2083.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",DC,33,33,1607.00,2184.00,2114.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",DE,88,87,2134.00,2141.00,2074.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",FL,801,800,1725.00,1891.00,2062.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",GA,250,250,1586.00,1873.00,2072.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",HI,24,24,1504.00,2406.00,2109.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",IA,142,142,2037.00,1895.00,2089.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",ID,79,79,1781.00,1796.00,2060.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",IL,950,944,2003.00,2057.00,2078.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",IN,403,401,1782.00,1957.00,2094.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",KS,139,139,1645.00,1852.00,2065.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",KY,272,271,1528.00,1825.00,2065.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",LA,97,96,1930.00,1780.00,2073.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MA,344,344,1976.00,2252.00,2066.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MD,387,386,1504.00,2076.00,2085.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",ME,72,72,1583.00,1961.00,2075.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MI,589,588,1832.00,1916.00,2056.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MN,273,273,1707.00,2181.00,2078.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MO,325,324,1850.00,1835.00,2076.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MS,106,106,1680.00,1698.00,2070.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MT,70,70,1399.00,1836.00,2053.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NC,650,647,1379.00,1848.00,2054.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",ND,17,17,2384.00,1872.00,2169.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NE,111,110,1688.00,2027.00,2111.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NH,85,84,1729.00,2190.00,2112.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NJ,304,304,2141.00,2209.00,2052.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NM,112,112,1776.00,1967.00,2075.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NV,93,93,2256.00,2255.00,2056.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NY,514,511,1994.00,2235.00,2099.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",OH,621,620,1679.00,1921.00,2084.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",OK,143,141,1980.00,1785.00,2077.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",OR,160,160,2073.00,2197.00,2080.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",PA,678,677,1847.00,1921.00,2068.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",PR,11,11,1336.00,1139.00,2116.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",RI,73,73,1672.00,2153.00,2086.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",SC,167,167,1846.00,1852.00,2074.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",SD,47,47,1797.00,1862.00,2103.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",TN,165,165,1656.00,1787.00,2103.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",TX,560,557,1833.00,1928.00,2076.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",UT,143,142,1507.00,1856.00,2041.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",VA,391,391,1551.00,1945.00,2079.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",VT,58,58,1622.00,2027.00,2040.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",WA,330,328,2005.00,2238.00,2078.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",WI,234,233,1746.00,2070.00,2103.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",WV,61,61,1399.00,1722.00,2087.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",WY,29,29,1538.00,2011.00,2081.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",AK,33,32,2366.00,2772.00,2406.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",AL,382,380,2052.00,1962.00,2431.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",AR,288,286,2313.00,2053.00,2433.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",AZ,449,444,2303.00,2447.00,2427.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",CA,2758,2726,3093.00,3045.00,2431.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",CO,715,704,1868.00,2420.00,2420.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",CT,644,639,1998.00,2736.00,2428.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",DC,108,107,2110.00,2512.00,2449.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",DE,132,132,2502.00,2469.00,2405.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",FL,2359,2338,2034.00,2217.00,2419.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",GA,591,585,1902.00,2186.00,2410.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",HI,30,30,2457.00,2779.00,2459.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",IA,383,383,2396.00,2208.00,2445.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",ID,185,183,2320.00,2158.00,2449.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",IL,2210,2190,2418.00,2398.00,2416.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",IN,978,966,2270.00,2284.00,2443.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",KS,323,319,2022.00,2199.00,2421.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",KY,659,653,1904.00,2138.00,2430.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",LA,284,283,2269.00,2085.00,2435.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MA,844,839,2296.00,2665.00,2440.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MD,753,748,1940.00,2400.00,2418.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",ME,163,162,2039.00,2301.00,2455.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MI,1569,1558,2228.00,2272.00,2410.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MN,693,685,2185.00,2562.00,2434.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MO,740,731,2177.00,2137.00,2418.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MS,319,317,2055.00,2015.00,2444.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MT,137,131,2066.00,2184.00,2424.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NC,1603,1588,1741.00,2168.00,2413.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",ND,39,39,2689.00,1997.00,2461.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NE,260,256,1955.00,2367.00,2453.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NH,206,206,1944.00,2473.00,2433.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NJ,631,622,2414.00,2607.00,2416.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NM,228,226,2119.00,2297.00,2433.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NV,353,346,2606.00,2711.00,2440.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NY,1035,1029,2235.00,2553.00,2431.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",OH,1803,1781,2007.00,2231.00,2428.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",OK,443,439,2262.00,2097.00,2445.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",OR,335,332,2711.00,2573.00,2453.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",PA,1461,1449,2284.00,2226.00,2411.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",PR,64,64,1763.00,1326.00,2428.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",RI,169,169,2070.00,2518.00,2434.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",SC,433,429,2049.00,2186.00,2440.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",SD,92,92,2005.00,2180.00,2449.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",TN,407,406,2006.00,2053.00,2410.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",TX,1889,1868,2339.00,2260.00,2427.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",UT,319,312,1922.00,2168.00,2390.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",VA,1150,1140,1962.00,2271.00,2422.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",VT,121,120,1892.00,2406.00,2430.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",WA,662,654,2655.00,2599.00,2414.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",WI,470,466,2163.00,2372.00,2414.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",WV,194,193,1756.00,1988.00,2419.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",WY,64,64,2090.00,2343.00,2438.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",AL,81,81,2535.00,2225.00,2774.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",AR,82,82,2656.00,2417.00,2802.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",AZ,98,95,2770.00,2771.00,2744.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",CA,512,512,3207.00,3490.00,2784.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",CO,175,175,2412.00,2768.00,2744.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",CT,150,150,2394.00,3179.00,2798.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",DC,29,29,2608.00,2875.00,2764.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",DE,28,28,2817.00,2817.00,2741.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",FL,602,600,2301.00,2534.00,2762.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",GA,141,140,2260.00,2542.00,2797.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",HI,14,14,2619.00,3195.00,2803.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",IA,77,77,3046.00,2491.00,2744.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",ID,61,61,2734.00,2435.00,2799.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",IL,571,569,2944.00,2757.00,2770.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",IN,231,231,2753.00,2600.00,2767.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",KS,95,95,2514.00,2492.00,2755.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",KY,175,174,2166.00,2404.00,2752.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",LA,71,71,2494.00,2355.00,2767.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MA,203,203,2740.00,3041.00,2802.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MD,166,166,2419.00,2674.00,2758.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",ME,54,54,2347.00,2632.00,2800.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MI,525,524,2612.00,2624.00,2781.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MN,131,131,2731.00,2878.00,2724.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MO,172,171,2631.00,2479.00,2795.00
