Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of  ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
17027,HGA HOMECARE OF DECATUR,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,AL,35603,1955,984,15.9,7.8,4.6,2.4,0.1,1.0,0.1,6377500.00,4665924.00,6001954.00,0.1,205,62230.00,77,336,648,702,282,915,60,,,0,,1.96,22,32,10,14,46,41,38,36,46,61,,52,14,62,8,11
17028,CENTRAL ALABAMA HOMECARE,345 WALKER CHAPEL PLAZA,FULTONDALE,AL,35068,350,197,20.7,7.9,5.8,2.3,1.4,3.2,0.2,1119447.00,1034341.00,1195482.00,0.3,37,12293.00,79,63,134,162,35,128,68,0,,0,,2.33,20,44,11,12,44,48,31,35,46,55,,52,26,56,13,22
17034,MERCY MEDICAL HOME HEALTH,374 SOUTH GREENO ROAD,FAIR HOPE,AL,36532,1063,527,17.5,8.4,4.9,3.1,0.2,0.9,0.1,2574410.00,2633168.00,3327406.00,0.0,79,23087.00,76,186,341,442,85,421,96,,,0,,2.04,23,34,13,19,40,39,31,35,41,58,,56,12,58,8,14
17035,INFIRMARY HOMECARE OF MOBILE,"4358 MIDMOST DRIVE, SUITE A",MOBILE,AL,36609,1543,1044,15.6,7.6,5.3,1.9,0.4,0.4,0.1,5313553.00,3875001.00,4863444.00,0.0,283,82293.00,75,412,632,858,186,683,344,,,0,,2.12,23,30,14,14,42,46,31,23,45,62,,59,13,53,4,15
17037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,AL,36109,757,514,16.4,7.2,5.9,2.0,0.4,1.0,0.0,2718498.00,1939545.00,2445010.00,0.1,133,39987.00,76,188,326,390,124,303,203,,,0,,2.31,21,30,12,15,44,48,34,26,46,64,,54,12,56,9,14
17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"250 CHATEAU DRIVE SW, SUITE 245",HUNTSVILLE,AL,35801,1737,1100,17.5,7.4,6.0,2.0,0.8,1.1,0.2,5172261.00,4969064.00,5847518.00,0.0,183,56781.00,77,365,735,881,219,907,180,,,,,2.05,19,43,11,13,42,48,31,43,42,58,,46,13,64,11,14
17041,ALABAMA HOMECARE,"100 CENTERVIEW DRIVE, SUITE 260",VESTAVIA HILLS,AL,35216,213,132,19.8,8.7,5.6,4.1,0.3,1.3,0.2,899141.00,630391.00,731573.00,0.1,25,8585.00,79,31,101,104,28,80,48,0,,0,,2.32,17,52,11,20,40,58,23,39,41,51,,52,16,64,6,17
17048,GENTIVA HEALTH SERVICES,101 NORTH LINCOLN STREET,GENEVA,AL,36340,727,369,17.7,7.5,7.6,0.3,0.2,2.1,0.0,2249700.00,1782941.00,2350464.00,0.0,34,8815.00,77,138,231,244,125,332,37,0,0,0,0,1.78,23,30,14,12,39,42,30,29,47,58,,52,12,67,9,11
17050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,AL,35816,289,147,16.2,7.1,5.9,1.5,0.0,1.6,0.0,657167.00,772563.00,888721.00,0.2,40,11293.00,72,50,97,77,70,85,57,,,0,,1.88,13,26,16,14,41,44,33,29,47,60,,44,12,52,4,15
17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,AL,35209,1612,1130,17.6,7.2,6.2,2.4,1.4,0.4,0.1,4970556.00,4662057.00,5440248.00,0.1,223,66490.00,79,348,782,1008,122,906,211,,,0,,1.79,20,45,11,12,37,43,22,39,36,60,,46,23,62,11,12
17052,GENTIVA HEALTH SERVICES,1390 NORTH MCKENZIE STREET,FOLEY,AL,36535,517,325,17.8,7.6,6.8,1.6,0.3,1.3,0.2,1674842.00,1331192.00,1685490.00,0.0,36,10822.00,78,139,186,300,25,316,,0,,,0,1.74,25,27,8,16,34,37,34,27,36,64,,58,14,69,5,11
17053,CARESOUTH HOMECARE PROFESSIONALS,"205 GRACELAND DRIVE, SUITE 3",DOTHAN,AL,36305,2168,1311,17.9,7.6,7.6,1.1,0.4,1.2,0.1,6836542.00,5804776.00,7359630.00,0.0,111,28623.00,75,462,849,895,416,1019,273,,,,,1.95,20,29,13,12,36,42,32,33,48,65,,55,17,64,8,14
17054,GENTIVA HEALTH SERVICES,1108 EAST PARK DRIVE,BIRMINGHAM,AL,35235,950,642,19.5,8.1,7.5,1.8,0.4,1.6,0.1,3359096.00,2888384.00,3346620.00,0.6,78,26010.00,78,203,439,556,86,478,160,0,,0,,2.05,20,38,12,12,38,45,22,33,38,58,,45,16,57,7,12
17055,GENTIVA HEALTH SERVICES,1294-A EAST MAIN STREET,PRATTVILLE,AL,36066,458,306,20.2,6.9,7.9,2.4,0.4,2.5,0.1,1645334.00,1271325.00,1628576.00,0.4,90,25394.00,75,132,174,259,47,235,68,0,,0,,2.07,18,33,10,14,39,41,30,34,40,65,,51,17,63,10,13
17056,GENTIVA HEALTH SERVICES,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,AL,36064,843,520,19.0,6.3,8.1,1.2,0.4,3.0,0.1,2750369.00,2280591.00,2900702.00,0.1,76,20850.00,78,173,347,417,103,314,195,,,,,2.00,19,34,10,14,41,43,29,28,47,62,,51,17,66,10,14
17058,GENTIVA HEALTH SERVICES,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,AL,36526,865,544,18.1,6.9,7.7,2.3,0.2,0.8,0.2,2892471.00,2378789.00,3017282.00,0.0,70,18521.00,78,182,362,469,75,477,58,0,,,,1.75,23,36,12,14,34,39,24,33,36,56,,51,14,55,7,16
17063,INTREPID USA HEALTHCARE SERVICES,"3918 MONTCLAIR RD, SUITE 202",MOUNTAIN BROOK,AL,35213,926,485,20.1,8.7,7.1,0.9,0.4,3.5,0.1,3106613.00,2451073.00,2983721.00,0.2,67,19973.00,75,196,289,352,133,339,139,,,0,,2.03,14,33,7,12,42,45,28,29,43,61,,55,11,62,8,15
17066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,AL,36607,1299,665,19.2,9.6,4.6,0.1,0.1,4.6,0.2,3030724.00,2854421.00,3582677.00,0.5,119,34978.00,78,248,417,551,114,540,114,,,,,2.02,23,36,14,19,42,44,32,26,42,63,,57,14,56,6,14
17067,INTREPID USA HEALTHCARE SERVICES,"4141 WALL STREET, SUITE 4141",MONTGOMERY,AL,36106,378,206,17.2,8.0,4.6,3.1,0.1,1.4,0.0,1161874.00,981971.00,1236649.00,0.0,44,10860.00,76,71,135,142,64,95,110,0,,0,,2.64,17,38,13,9,50,52,28,36,56,63,,54,14,61,13,15
17069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,AL,36535,2061,1019,18.0,8.5,4.6,1.7,0.7,1.8,0.6,6018727.00,5023283.00,6345114.00,0.1,141,40468.00,77,363,656,810,209,874,118,,,13,,1.93,25,39,11,13,41,40,30,37,42,58,,59,12,64,9,12
17070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,AL,36522,573,301,13.8,7.3,2.7,2.5,0.5,0.6,0.1,1327001.00,1297865.00,1647844.00,0.0,53,16494.00,76,116,185,220,81,241,60,0,0,0,0,1.92,23,27,10,13,48,37,29,24,44,58,,60,7,69,3,13
17071,GENTIVA HEALTH SERVICES,20 ALMON DRIVE SUITE C,MOULTON,AL,35650,6360,3000,20.1,8.5,6.1,2.3,0.3,2.8,0.1,22380042.00,17198007.00,21376754.00,0.4,707,187982.00,77,1030,1970,2210,790,2675,293,,16,,,1.94,19,35,10,11,42,40,35,32,44,61,,52,13,63,8,10
17072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,AL,36037,445,236,14.9,7.5,3.9,0.1,0.8,2.5,0.1,1022173.00,970462.00,1229818.00,0.0,23,5690.00,75,73,163,137,99,127,107,,,0,0,1.85,13,31,8,10,34,39,26,31,50,55,,47,9,64,10,17
17078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,AL,35481,836,406,19.0,8.7,5.1,1.4,0.5,3.1,0.1,2471400.00,2114685.00,2673459.00,0.1,105,27117.00,76,137,269,266,140,265,139,0,0,,,1.79,15,34,14,13,39,39,31,22,46,66,,43,7,67,9,11
17079,LAMAR HOME CARE INC,"131 1ST AVENUE NW, SUITE B",VERNON,AL,35592,162,94,19.4,7.1,3.2,0.0,0.0,9.1,0.0,308495.00,351907.00,444187.00,0.0,12,3117.00,77,35,59,61,33,88,,0,0,0,,1.71,24,44,11,14,50,46,39,40,53,51,,60,6,47,14,13
17080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,AL,35401,2097,1306,15.4,7.8,3.8,0.7,0.4,2.7,0.0,5507004.00,4988979.00,5714485.00,0.3,268,88677.00,75,489,817,985,321,894,402,,,0,,2.19,22,32,21,15,43,45,35,38,49,73,,54,13,67,12,14
17082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,AL,35042,483,117,14.3,9.3,1.3,0.3,0.0,3.4,0.0,747403.00,944653.00,1095295.00,0.0,29,9018.00,75,44,73,58,59,76,39,,,0,0,2.08,20,36,21,15,46,49,35,35,51,71,,54,10,42,9,15
17084,GENTIVA HOME HEALTH SERVICES,200 CENTRAL PARK PLACE,SELMA,AL,36701,474,318,16.8,7.1,5.2,2.0,0.4,2.0,0.1,1403709.00,1174886.00,1489603.00,0.1,55,16559.00,73,129,189,154,164,99,217,0,0,,,2.42,10,29,15,12,62,47,28,21,56,66,,72,5,52,10,19
17085,COOSA VALLEY HOMECARE,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,607,366,14.9,8.1,4.9,1.4,0.0,0.5,0.0,1961154.00,1414341.00,1780766.00,0.3,84,25502.00,76,125,241,237,129,292,73,0,0,,,1.75,23,25,11,14,46,36,36,25,45,47,,55,8,58,6,13
17086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,AL,36726,452,220,13.3,8.5,4.4,0.0,0.2,0.2,0.1,1293517.00,1011270.00,1273943.00,0.0,27,8221.00,75,83,137,100,120,64,155,0,0,,,1.82,11,32,12,8,45,36,27,17,51,50,,44,4,52,3,14
17088,FAYETTE MEDICAL CENTER HOMECARE,"102 2ND AVENUE, SE",FAYETTE,AL,35555,662,268,17.6,8.1,7.2,1.3,0.2,1.0,0.1,2369370.00,1753447.00,2207779.00,0.0,65,19012.00,77,101,167,186,82,234,32,0,,0,,2.15,19,37,18,16,52,44,42,29,47,55,,53,12,63,13,9
17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,"1912 ALABAMA HIGHWAY 157, 2ND FLOOR",CULLMAN,AL,35058,370,306,12.6,5.5,5.6,1.1,0.0,0.4,0.0,689763.00,786607.00,993184.00,0.1,57,17821.00,75,114,192,235,71,303,,0,,0,0,1.59,23,23,11,14,45,30,26,30,46,65,,44,12,68,7,10
17090,GENTIVA HEALTH SERVICES,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,AL,36908,485,264,20.4,9.0,6.8,0.0,0.0,4.5,0.0,1539846.00,1199799.00,1503517.00,0.6,31,7830.00,75,92,172,156,108,126,137,0,,0,,1.80,20,27,8,9,46,39,25,23,50,55,,47,6,66,7,13
17091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,AL,36744,458,177,16.3,6.5,1.7,0.1,0.1,7.9,0.0,679018.00,984009.00,1129553.00,0.0,24,5385.00,75,59,118,78,99,48,129,0,0,0,0,2.03,14,37,15,12,53,45,33,22,51,66,,50,6,,10,19
17092,MEDICAL CENTER HOME HEALTH,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,254,152,18.7,7.5,3.8,1.0,0.4,6.1,0.0,490832.00,543444.00,683983.00,0.1,25,5860.00,77,52,100,95,57,106,45,0,0,,,2.01,17,33,14,16,44,38,38,26,50,70,,47,5,51,12,17
17093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,AL,35968,267,125,17.7,8.4,5.6,0.0,0.1,3.6,0.0,734326.00,608861.00,772423.00,0.0,12,3576.00,75,45,80,79,46,123,,0,,0,0,2.02,13,25,6,10,45,32,42,37,46,64,,58,16,56,13,14
17094,CHEROKEE HOME HEALTH,"704 CHEROKEE PLAZA, SUITE 9",CENTRE,AL,35960,356,162,21.3,9.1,5.8,1.9,0.0,4.2,0.3,1163638.00,916585.00,1157725.00,0.2,20,6326.00,76,65,97,123,39,154,,0,0,,0,1.83,27,33,11,15,54,51,51,38,46,56,,60,10,57,9,8
17095,ATHENS-LIMESTONE HOMECARE,"725 WEST MARKET STREET, SUITE A",ATHENS,AL,35611,960,513,16.1,8.3,5.0,1.9,0.4,0.7,0.1,3276126.00,2652101.00,3061825.00,0.2,74,24279.00,77,178,335,370,143,466,43,,,,0,1.94,21,30,12,15,44,42,38,30,43,59,,47,19,62,5,11
17096,TROY REGIONAL MEDICAL CENTER HOME HEALTH,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,289,170,21.4,8.1,5.9,2.6,0.1,4.8,0.0,758045.00,714983.00,904708.00,0.0,60,16877.00,79,60,110,110,60,120,46,0,,,,1.94,23,33,11,9,41,36,31,22,39,72,,47,14,49,14,15
17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,AL,36251,483,258,12.4,8.0,3.0,1.1,0.0,0.4,0.0,1278404.00,1011893.00,1280616.00,0.0,39,11258.00,76,85,173,156,102,218,38,0,,0,,1.98,22,28,14,10,55,41,40,30,47,65,,60,9,62,5,14
17100,MARION REGIONAL HOMECARE,"234 1ST AVENUE SW, SUITE 2",HAMILTON,AL,35570,432,182,18.1,7.7,6.9,1.2,0.7,1.6,0.1,1551264.00,1140530.00,1442064.00,0.0,52,13632.00,78,56,126,122,60,173,,,0,0,0,1.91,24,35,8,14,52,42,46,46,47,64,,58,12,51,8,9
17101,HEALTH NOW HOME HEALTH,751 DERBY DRIVE,YORK,AL,36925,181,58,10.4,8.1,0.1,0.0,0.0,2.1,0.0,352759.00,283637.00,365022.00,0.0,,,72,21,37,25,33,,47,0,,0,0,1.92,7,26,14,12,60,50,34,29,67,59,,53,3,71,14,10
17102,ALABAMA HOMECARE,"607 WILSON AVENUE, SUITE 3",EUTAW,AL,35462,157,114,12.1,8.7,2.5,0.2,0.2,0.7,0.0,420839.00,349988.00,408043.00,0.0,15,5764.00,78,44,70,55,59,25,89,0,0,0,0,1.90,14,31,25,15,48,42,34,20,66,64,,44,5,69,8,8
17103,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,HWY 80 E,DEMOPOLIS,AL,36732,468,202,14.5,9.7,1.8,0.0,0.0,3.1,0.0,670999.00,857196.00,1063418.00,0.2,65,18303.00,74,75,127,95,107,73,129,0,0,0,0,2.17,14,28,12,11,54,42,31,20,62,60,,54,5,58,12,12
17104,HIGHLANDS HOME HEALTH,309 PARKS AVENUE,SCOTTSBORO,AL,35768,519,252,15.7,8.6,3.3,2.3,0.5,1.1,0.0,1004247.00,1190203.00,1503863.00,0.0,25,6474.00,75,102,150,160,92,246,,0,0,0,,2.08,25,29,9,13,57,46,42,46,50,57,,65,17,74,15,16
17106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,AL,36401,340,195,14.2,7.2,3.6,0.0,0.0,3.4,0.0,525882.00,691711.00,872587.00,0.2,44,11737.00,78,65,130,116,79,117,78,0,0,0,0,1.67,16,28,8,14,44,25,39,16,52,62,,64,6,,5,17
17107,SUNCREST HOME HEALTH,222 7TH STREET SOUTH,CLANTON,AL,35045,970,535,18.8,7.7,6.1,1.8,1.0,2.3,0.1,2616237.00,2769907.00,3276744.00,0.1,70,21892.00,76,182,353,429,106,476,52,,,0,,2.09,24,26,15,15,47,54,39,36,47,65,,60,13,63,13,17
17109,NORTHWEST HOME HEALTH HALEYVILLE,HIGHWAY 195 EAST PO BOX 780,HALEYVILLE,AL,35565,232,155,17.9,9.3,4.2,0.6,0.0,3.8,0.0,881224.00,478915.00,604450.00,0.2,18,5266.00,75,52,103,83,72,154,0,0,0,,,1.83,26,28,8,10,55,40,63,43,39,59,,59,8,,8,18
17112,JACKSON MEDICAL CENTER HOME HEALTH,112 FOREST AVENUE,JACKSON,AL,36545,388,213,18.0,10.3,2.5,0.0,0.0,5.1,0.0,939615.00,754757.00,951588.00,0.1,29,8416.00,77,99,114,159,54,144,68,0,,0,,1.82,19,30,10,15,39,30,27,23,45,50,,48,3,50,5,11
17115,GADSDEN REGIONAL HOME HEALTH,82 INDUSTRIAL BOULEVARD,ATTALLA,AL,35954,338,212,19.1,9.0,5.4,1.4,0.0,3.3,0.1,997903.00,870945.00,1053901.00,0.0,25,6562.00,75,75,137,152,60,190,20,0,,0,,1.90,18,29,17,11,47,41,43,45,46,58,,59,9,61,8,9
17116,IVY CREEK HOME HEALTH OF ELMORE,15 CAMBRIDGE COURT,WETUMPKA,AL,36092,749,381,16.7,8.0,4.1,0.8,0.4,3.5,0.0,1534270.00,1641559.00,2070898.00,0.0,63,18092.00,78,126,255,293,88,294,79,,,0,,2.12,17,35,8,13,42,42,34,39,42,55,,55,19,,9,15
17117,LAKE MARTIN HOME HEALTH,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",DADEVILLE,AL,36853,1761,572,10.2,6.5,1.5,0.7,0.2,1.4,0.0,2556989.00,3523288.00,4444452.00,0.1,109,30692.00,75,206,366,359,213,406,162,,,0,,1.93,16,31,11,11,44,41,46,26,44,50,,63,11,,5,12
17118,"AMEDISYS H H, A LAWRENCE MEDICAL CTR PARTNER","15190 COURT STREET, SUITE B",MOULTON,AL,35650,317,191,17.1,7.4,6.7,0.1,0.1,2.5,0.3,855087.00,761677.00,983957.00,0.0,44,11641.00,74,74,117,123,68,172,19,0,0,0,0,1.89,19,30,8,13,45,45,35,40,60,74,,58,8,68,13,11
17119,HGA HOMECARE OF HUNTSVILLE,"6767 OLD MADISON PIKE NW - BUILDING 4, SUITE 400",HUNTSVILLE,AL,35806,1554,1006,15.4,6.9,5.3,2.1,0.7,0.3,0.1,5212227.00,4317011.00,4981588.00,0.2,216,73295.00,77,345,661,792,214,791,187,13,,,,2.11,20,27,13,16,40,47,29,32,45,62,,48,13,61,6,14
17121,GENTIVA HEALTH SERVICES,1309 ANTIOCH ROAD,ANDALUSIA,AL,36420,862,483,18.3,7.4,7.0,1.5,0.2,2.4,0.0,2760294.00,2311832.00,2933512.00,0.0,59,14658.00,76,182,301,311,172,424,53,,,,,1.94,16,28,8,14,42,37,36,31,48,63,,53,12,69,9,20
17123,EAMC - LANIER HOME HEALTH,1806 44TH ST.,VALLEY,AL,36854,365,250,13.7,7.8,3.7,1.4,0.3,0.7,0.0,1073721.00,831764.00,1045724.00,0.3,45,12185.00,75,100,150,160,90,181,67,0,0,,,1.85,17,28,8,9,39,39,38,24,50,50,,57,12,59,3,11
17124,DALE MEDICAL CTR HOME HEALTH,126 HOSPITAL AVENUE,OZARK,AL,36360,259,185,23.9,11.0,6.7,0.0,0.0,6.1,0.2,707900.00,609693.00,771065.00,0.3,24,6420.00,77,65,120,125,60,149,34,,,0,0,1.63,17,35,9,16,44,44,35,22,45,58,,51,18,65,7,10
17125,KELLER HOME CARE,116 4TH STREET NE,RED BAY,AL,35582,1389,550,15.0,8.3,3.1,3.2,0.0,0.5,0.0,4187638.00,3195083.00,3992235.00,0.0,92,28286.00,77,209,341,383,167,493,53,0,,0,,1.88,18,29,12,11,40,43,37,29,47,66,,54,9,63,6,9
17127,SOUTH BALDWIN REGIONAL HOME HEALTH,110 ELECIA LANE,FOLEY,AL,36535,431,267,15.9,8.1,4.4,1.4,0.6,1.3,0.2,1119885.00,1000044.00,1272703.00,0.0,39,12355.00,78,105,162,222,45,255,,,0,0,,1.94,28,34,10,19,46,47,40,36,41,64,,61,19,67,9,15
17128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,AL,35976,1464,679,16.9,8.0,5.7,2.1,0.4,0.8,0.0,5062308.00,3785059.00,4766323.00,0.0,189,52970.00,76,219,460,435,244,663,,,0,0,,2.04,21,31,10,10,51,43,41,35,42,60,,59,16,60,6,19
17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,"665 OPELIKA ROAD, SUITE 300",AUBURN,AL,36830,1239,728,13.1,7.0,3.8,1.3,0.4,0.7,0.0,3488479.00,2907764.00,3569749.00,0.1,183,58068.00,76,274,454,504,224,466,252,,,0,,2.05,20,29,10,11,45,43,31,20,46,62,,57,9,55,7,16
17130,INFIRMARY HOMECARE OF GROVE HILL,127-C CLARKE STREET,GROVE HILL,AL,36451,528,349,14.7,8.1,5.8,0.0,0.1,0.6,0.1,1684978.00,1254964.00,1585104.00,0.0,92,23126.00,75,164,185,236,113,208,137,0,,,,2.04,18,28,9,11,47,35,30,14,48,48,,56,3,53,6,12
