HHRG,HHRG Description,State,Total Episodes,Distinct Beneficiaries,Average HHA Charge Amount,Average HHA Medicare Payment Amount,Average HHA Medicare Standard Payment Amount
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MD,1379,1354,1494.00,1687.00,1731.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",ME,307,303,1553.00,1648.00,1743.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MI,3715,3552,1594.00,1618.00,1730.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MN,1150,1113,1790.00,1802.00,1741.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MO,1445,1402,1643.00,1540.00,1733.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MS,978,896,1625.00,1452.00,1749.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",MT,232,224,1468.00,1617.00,1718.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NC,2330,2243,1368.00,1543.00,1738.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",ND,165,160,2077.00,1356.00,1711.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NE,638,609,1703.00,1653.00,1741.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NH,597,574,1526.00,1788.00,1749.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NJ,2020,1977,2022.00,1858.00,1732.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NM,451,418,1560.00,1663.00,1752.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NV,1127,1021,1560.00,1892.00,1736.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",NY,2695,2615,1814.00,1877.00,1748.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",OH,4033,3696,1753.00,1623.00,1754.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",OK,1403,1253,1629.00,1514.00,1749.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",OR,651,629,2297.00,1847.00,1752.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",PA,5588,5355,1681.00,1632.00,1734.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",PR,82,80,1591.00,933.00,1735.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",RI,438,414,1556.00,1792.00,1724.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",SC,819,794,1701.00,1544.00,1731.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",SD,177,172,1709.00,1525.00,1723.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",TN,684,648,1539.00,1477.00,1730.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",TX,5982,5268,1550.00,1604.00,1741.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",UT,397,386,1486.00,1620.00,1723.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",VA,1912,1845,1517.00,1625.00,1739.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",VT,234,224,1567.00,1750.00,1750.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",WA,828,812,2036.00,1861.00,1730.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",WI,963,934,1863.00,1716.00,1752.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",WV,348,339,1317.00,1441.00,1740.00
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",WY,186,169,1866.00,1711.00,1763.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",AK,18,18,2069.00,2348.00,2096.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",AL,100,100,1613.00,1656.00,2037.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",AR,93,93,1804.00,1732.00,2077.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",AZ,220,220,1854.00,2051.00,2051.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",CA,1103,1100,2239.00,2648.00,2061.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",CO,242,242,1511.00,1953.00,2011.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",CT,256,256,1592.00,2320.00,2064.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",DC,21,21,1641.00,2147.00,2092.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",DE,67,66,2025.00,2124.00,2092.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",FL,576,572,1611.00,1845.00,2036.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",GA,194,194,1445.00,1836.00,2057.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",HI,22,22,1662.00,2398.00,2097.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",IA,149,149,1874.00,1852.00,2045.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",ID,91,91,1799.00,1825.00,2064.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",IL,792,790,2059.00,2009.00,2053.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",IN,332,331,1907.00,1933.00,2079.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",KS,96,96,1648.00,1837.00,2060.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",KY,253,251,1446.00,1816.00,2069.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",LA,74,74,1793.00,1746.00,2064.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MA,283,283,1798.00,2267.00,2081.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MD,362,360,1581.00,2029.00,2061.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",ME,65,64,1636.00,1906.00,2093.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MI,525,520,1856.00,1916.00,2058.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MN,260,258,1784.00,2160.00,2067.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MO,294,293,1718.00,1784.00,2045.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MS,105,105,1697.00,1736.00,2091.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",MT,59,58,1355.00,1923.00,2066.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NC,462,462,1364.00,1819.00,2050.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",ND,15,15,2916.00,1626.00,2090.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NE,104,104,1714.00,1982.00,2092.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NH,89,89,1411.00,2073.00,2045.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NJ,278,278,2450.00,2206.00,2045.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NM,87,87,1712.00,1937.00,2061.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NV,78,78,2427.00,2163.00,2037.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",NY,362,362,1998.00,2183.00,2053.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",OH,514,514,1724.00,1899.00,2074.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",OK,122,121,1794.00,1767.00,2050.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",OR,144,144,2309.00,2182.00,2075.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",PA,630,624,1894.00,1895.00,2038.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",RI,61,60,1656.00,2158.00,2087.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",SC,154,154,1763.00,1863.00,2085.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",SD,43,43,1779.00,1814.00,2057.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",TN,85,85,1562.00,1742.00,2039.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",TX,459,456,1862.00,1908.00,2072.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",UT,106,105,1648.00,1967.00,2094.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",VA,416,415,1522.00,1928.00,2051.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",VT,48,48,1527.00,1992.00,2001.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",WA,245,244,2046.00,2214.00,2041.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",WI,188,188,1780.00,2009.00,2062.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",WV,64,64,1464.00,1744.00,2093.00
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",WY,29,28,1751.00,1945.00,2032.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",AK,25,25,2780.00,2889.00,2434.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",AL,279,277,2159.00,1969.00,2420.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",AR,222,220,2317.00,2034.00,2409.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",AZ,483,479,2224.00,2395.00,2398.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",CA,2890,2860,2522.00,3030.00,2407.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",CO,583,580,1805.00,2337.00,2380.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",CT,604,597,2010.00,2709.00,2400.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",DC,93,91,2180.00,2416.00,2404.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",DE,109,109,2675.00,2483.00,2434.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",FL,1644,1638,2001.00,2185.00,2390.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",GA,472,472,1919.00,2163.00,2409.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",HI,36,36,2353.00,2762.00,2431.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",IA,327,322,2399.00,2173.00,2411.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",ID,182,180,2118.00,2134.00,2407.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",IL,1866,1845,2502.00,2364.00,2408.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",IN,962,957,2287.00,2268.00,2413.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",KS,274,271,2114.00,2162.00,2414.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",KY,634,628,1824.00,2109.00,2412.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",LA,209,208,2387.00,2029.00,2409.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MA,672,667,2193.00,2624.00,2416.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MD,789,781,2008.00,2356.00,2409.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",ME,150,150,1912.00,2276.00,2425.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MI,1424,1411,2318.00,2238.00,2400.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MN,638,632,2089.00,2502.00,2399.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MO,672,669,2152.00,2105.00,2386.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MS,210,208,2073.00,1998.00,2416.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",MT,136,135,1891.00,2262.00,2418.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NC,1220,1217,1773.00,2145.00,2420.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",ND,34,34,2981.00,1885.00,2402.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NE,240,239,2131.00,2303.00,2425.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NH,179,179,1842.00,2422.00,2394.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NJ,492,489,2950.00,2621.00,2412.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NM,192,190,2087.00,2313.00,2430.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NV,273,270,2559.00,2607.00,2409.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",NY,761,752,2240.00,2570.00,2421.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",OH,1582,1562,2032.00,2189.00,2396.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",OK,323,321,2322.00,2052.00,2403.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",OR,298,297,2639.00,2543.00,2409.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",PA,1333,1323,2267.00,2220.00,2389.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",PR,55,55,1592.00,1283.00,2321.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",RI,166,164,2183.00,2462.00,2391.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",SC,383,381,2057.00,2145.00,2418.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",SD,102,100,2248.00,2123.00,2413.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",TN,270,268,1966.00,2030.00,2404.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",TX,1441,1426,2276.00,2224.00,2414.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",UT,377,370,1971.00,2236.00,2401.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",VA,1058,1048,1857.00,2256.00,2401.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",VT,105,104,2026.00,2428.00,2434.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",WA,520,518,2675.00,2609.00,2403.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",WI,359,359,2186.00,2341.00,2402.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",WV,181,180,1836.00,2000.00,2403.00
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",WY,53,53,2214.00,2284.00,2376.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",AL,55,55,2591.00,2206.00,2734.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",AR,53,53,2640.00,2310.00,2731.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",AZ,135,134,2613.00,2750.00,2756.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",CA,464,463,3077.00,3551.00,2757.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",CO,132,132,2272.00,2688.00,2733.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",CT,174,171,2297.00,3105.00,2764.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",DC,19,19,2949.00,2861.00,2781.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",DE,16,16,3068.00,2743.00,2693.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",FL,437,437,2357.00,2477.00,2728.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",GA,127,127,2379.00,2483.00,2761.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",IA,92,92,2638.00,2423.00,2687.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",ID,34,34,2563.00,2430.00,2754.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",IL,477,475,2853.00,2740.00,2764.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",IN,232,232,2656.00,2622.00,2767.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",KS,99,98,2625.00,2513.00,2778.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",KY,138,138,2201.00,2377.00,2728.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",LA,45,45,2966.00,2267.00,2728.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MA,168,166,2658.00,2993.00,2775.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MD,188,188,2376.00,2693.00,2749.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",ME,34,34,2623.00,2584.00,2774.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MI,426,424,2594.00,2563.00,2740.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MN,117,117,2680.00,2805.00,2722.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MO,126,126,2759.00,2478.00,2772.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MS,55,55,2482.00,2267.00,2773.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",MT,30,30,2320.00,2603.00,2774.00
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",NC,277,277,2100.00,2437.00,2756.00
