Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
17026,GENTIVA HEALTH SERVICES,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,AL,35244,983,648,20.6,7.3,6.8,1.8,0.5,4.1,0.1,3367179,2872897,3297326,0.2,102,30332,76,229,419,506,142,412,225,,,,,2.08,20,40,14,11,41,44,25,38,46,65,,48,15,59,12,15
17027,HGA HOMECARE OF DECATUR,"2708 HIGHWAY 31 SOUTH, SUITE B",DECATUR,AL,35603,1980,956,14.3,7.5,4.0,1.8,0.2,0.8,0.1,5798438,4610995,5875852,0.0,192,52848,77,319,637,713,243,893,53,,,0,,1.99,17,34,11,14,45,38,33,36,45,58,,49,14,61,10,11
17028,CENTRAL ALABAMA HOMECARE,345 WALKER CHAPEL PLAZA,FULTONDALE,AL,35068,754,447,21.4,7.4,6.6,3.0,1.4,3.7,0.3,2544816,2291199,2618404,0.2,68,19693,80,159,288,379,68,301,142,,,0,0,2.18,17,39,14,14,45,48,26,28,47,61,,51,15,56,6,14
17034,MERCY MEDICAL HOME HEALTH,101 B VILLA DRIVE,DAPHNE,AL,36526,997,490,19.1,8.2,5.6,3.5,0.4,1.2,0.2,2631447,2620728,3320042,0.4,98,30331,76,172,318,416,74,411,69,,,0,,2.12,27,34,13,18,42,37,32,34,39,58,,56,14,55,10,15
17035,INFIRMARY HOMECARE OF MOBILE,"4358 MIDMOST DRIVE, SUITE A",MOBILE,AL,36609,1914,1108,14.3,7.4,4.5,1.6,0.3,0.5,0.1,5852261,4525535,5697971,0.0,291,84051,76,411,697,894,214,727,361,,,0,,2.14,21,33,13,13,43,40,33,22,47,61,,59,13,56,6,16
17037,BAPTIST HOME HEALTH,"300 INTERSTATE PARK DRIVE, SUITE 312",MONTGOMERY,AL,36109,905,611,15.4,7.8,5.2,1.1,0.3,1.1,0.1,3056422,2210239,2711288,0.0,141,39920,76,208,403,489,122,425,180,,,0,,2.13,23,30,13,14,46,48,33,28,45,63,,53,15,53,7,18
17039,AMEDISYS HOME HEALTH OF HUNTSVILLE,"7047 OLD MADISON PIKE, SUITE 305",HUNTSVILLE,AL,35806,2248,1478,17.9,7.5,5.6,2.6,0.7,1.2,0.2,6907798,6364642,7530166,0.1,260,72061,77,495,983,1131,347,1283,180,,,,,2.16,18,42,9,13,42,44,31,39,44,57,,51,12,62,12,12
17041,ALABAMA HOMECARE,"100 CENTERVIEW DRIVE, SUITE 260",VESTAVIA HILLS,AL,35216,358,190,17.4,9.0,4.7,2.1,0.5,1.1,0.1,1282329,1009665,1155721,0.1,41,11109,76,62,128,159,31,126,60,,,0,,2.44,22,34,16,14,53,53,40,32,51,57,,65,15,56,6,15
17048,GENTIVA HEALTH SERVICES,101 NORTH LINCOLN STREET,GENEVA,AL,36340,732,369,18.8,8.0,7.7,0.0,0.2,2.9,0.0,2329415,1850324,2364937,0.0,27,7076,77,148,221,254,115,341,25,0,,0,,1.82,23,34,13,12,44,42,36,27,44,59,,56,14,68,9,15
17050,SPECTRUM HOME HEALTH AGENCY,"1310 PULASKI PIKE, UNIT A",HUNTSVILLE,AL,35816,333,152,14.5,7.6,3.9,0.6,0.4,2.0,0.0,663612,834824,941327,0.0,37,9634,72,65,87,95,57,107,43,,,0,0,2.08,13,18,9,14,36,44,39,24,45,57,,43,9,50,4,14
17051,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,"2204 LAKESHORE DRIVE, SUITE 110",HOMEWOOD,AL,35209,1546,1008,17.4,6.6,6.0,2.5,1.6,0.6,0.1,4716191,4563685,5250461,0.1,214,60222,80,312,696,926,82,827,166,,,0,,1.83,24,48,9,14,41,42,25,37,37,60,,49,21,64,12,15
17052,GENTIVA HEALTH SERVICES,1390 NORTH MCKENZIE STREET,FOLEY,AL,36535,466,291,18.9,7.4,7.1,2.2,0.4,1.6,0.3,1576862,1259303,1608982,0.0,39,10347,78,130,161,259,32,281,,,,,0,1.71,24,29,9,20,33,28,30,23,39,64,,58,12,65,8,12
17053,CARESOUTH HOMECARE PROFESSIONALS,"3700 ROSS CLARK CIRCLE, SUITE 1",DOTHAN,AL,36303,2145,1300,17.5,7.3,7.6,1.2,0.3,1.1,0.1,6630938,5901198,7284460,0.1,109,29184,76,457,843,877,423,1019,268,0,,,,1.92,19,34,13,13,39,41,29,27,47,63,,54,17,65,10,15
17054,GENTIVA HEALTH SERVICES,1108 EAST PARK DRIVE,BIRMINGHAM,AL,35235,674,486,20.3,8.2,7.0,1.8,0.7,2.5,0.1,2437930,2044478,2350147,1.0,73,24062,76,173,313,419,67,356,123,,,0,,1.99,18,38,10,13,37,45,24,35,37,56,,46,17,58,9,14
17055,GENTIVA HEALTH SERVICES,1294-A EAST MAIN STREET,PRATTVILLE,AL,36066,492,309,19.3,6.7,6.8,2.0,0.3,3.4,0.1,1601724,1340818,1644757,0.1,86,20106,75,113,196,265,44,239,68,,0,0,,1.93,19,33,9,14,37,38,30,29,42,61,,51,16,63,8,17
17056,GENTIVA HEALTH SERVICES,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,AL,36064,936,560,17.4,6.7,6.0,1.0,0.3,3.3,0.1,2689174,2368364,2918095,0.0,110,30980,78,208,352,453,107,368,185,,,0,,1.94,20,36,8,14,37,41,26,30,43,58,,46,17,66,9,16
17058,GENTIVA HEALTH SERVICES,"9037 INDEPENDENCE AVENUE, SUITE B",DAPHNE,AL,36526,748,480,19.3,8.3,6.6,2.5,0.3,1.3,0.3,2610427,1987840,2522527,0.2,63,17168,78,167,313,409,71,409,62,0,,,0,1.91,25,33,9,13,38,37,26,28,39,58,,56,12,58,7,12
17063,INTREPID USA HEALTHCARE SERVICES,"3918 MONTCLAIR RD, SUITE 202",BIRMINGHAM,AL,35209,821,367,16.2,9.0,4.5,0.2,0.0,2.6,0.1,2179026,1924678,2372670,0.0,83,23467,75,162,205,261,106,267,92,0,,0,,2.21,19,32,8,10,49,39,36,26,43,55,,57,10,64,8,12
17066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,AL,36607,1452,719,19.7,10.0,4.1,0.0,0.1,5.3,0.2,3430314,3050494,3830269,1.1,135,34870,79,263,456,598,121,561,146,,,,,2.05,24,38,10,20,43,38,30,24,43,56,,59,12,57,8,14
17067,INTREPID USA HEALTHCARE SERVICES,7212 COPPERFIELD DRIVE,MONTGOMERY,AL,36117,339,182,16.7,7.6,4.7,3.1,0.0,1.3,0.1,1013648,924215,1126865,0.0,36,9594,76,60,122,116,66,69,112,0,0,,,2.52,14,32,7,14,43,50,24,25,56,58,,51,13,60,9,16
17069,AMEDISYS HOME HEALTH OF FOLEY,1809 N MCKENZIE STREET,FOLEY,AL,36535,2027,1044,17.3,8.2,4.5,1.8,0.7,1.8,0.4,5702542,4939224,6263111,0.1,206,51920,76,368,676,812,232,927,99,,,,,2.00,25,39,11,12,43,37,31,36,44,55,,59,12,67,10,13
17070,AMEDISYS HOME HEALTH OF CITRONELLE,"19375 NORTH 3RD STREET, SUITE 101",CITRONELLE,AL,36522,628,280,13.3,7.2,2.7,2.5,0.4,0.3,0.1,1426584,1410205,1795299,0.0,54,15723,75,106,174,199,81,224,54,0,,,0,1.95,24,31,12,16,44,37,35,30,46,63,,60,9,73,7,13
17071,GENTIVA HEALTH SERVICES,12521 ALABAMA HIGHWAY 157,MOULTON,AL,35650,6472,3131,19.1,8.2,5.5,2.0,0.3,2.9,0.1,21192669,17033822,21198661,0.3,780,199867,77,1131,2000,2295,836,2813,283,11,,,11,2.04,19,34,9,12,44,41,35,30,45,60,,54,12,62,8,12
17072,AMEDISYS HOME HEALTH OF GREENVILLE,525 GREENVILLE BYPASS,GREENVILLE,AL,36037,424,224,15.3,7.1,3.9,0.4,1.1,2.6,0.1,1012661,964104,1218841,0.1,26,6189,74,82,142,110,114,118,104,0,,0,,2.20,14,33,9,11,38,35,26,25,48,50,,48,7,69,10,13
17078,AMEDISYS HOME HEALTH OF REFORM,420 FIRST AVENUE WEST,REFORM,AL,35481,779,378,20.2,8.7,5.9,1.6,0.4,3.5,0.1,2449490,2075563,2622582,0.4,124,29300,77,136,242,237,141,232,145,0,,0,,1.75,16,34,12,11,40,34,32,19,46,59,,42,8,67,8,10
17079,LAMAR HOME CARE INC,"131 1ST AVENUE NW, SUITE B",VERNON,AL,35592,235,123,17.9,6.5,3.2,0.0,0.0,8.2,0.0,413320,505254,639952,0.0,11,2170,78,39,84,70,53,112,11,0,0,0,0,1.85,15,37,11,15,39,45,34,35,43,44,,53,10,57,8,8
17080,DCH HOME HEALTH CARE AGENCY,1401 GREENSBORO AVENUE,TUSCALOOSA,AL,35401,2088,1258,15.2,7.4,3.8,0.9,0.4,2.6,0.1,5485654,5126397,5855851,0.2,257,77289,76,423,835,950,308,875,373,,,,,2.31,23,31,19,16,43,45,36,39,51,73,,53,12,63,10,13
17082,CV HOME HEALTH OF BIBB COUNTY,142 PIERSON AVENUE,CENTREVILLE,AL,35042,494,123,15.1,9.1,1.9,0.0,0.0,4.1,0.0,774648,1027157,1174561,0.2,19,5334,74,49,74,72,51,83,39,0,0,,,2.46,16,31,24,15,57,47,40,37,52,65,,60,13,50,10,15
17083,HOME CARE PLUS,3950 AUTUMN LANE,BIRMINGHAM,AL,35243,971,660,17.8,8.0,5.9,1.4,0.8,1.6,0.1,2949222,2769329,3163861,0.4,54,16928,79,210,450,559,101,469,183,,,0,,2.01,19,42,12,11,42,43,21,32,37,58,,49,18,62,9,13
17084,GENTIVA HOME HEALTH SERVICES,200 CENTRAL PARK PLACE,SELMA,AL,36701,394,256,16.2,7.7,5.7,1.0,0.0,1.8,0.1,1140937,906335,1164887,0.0,56,15085,73,98,158,130,126,74,181,0,0,,,2.51,14,34,14,11,60,49,32,18,55,59,,68,7,48,8,16
17085,COOSA VALLEY HOMECARE,315 WEST HICKORY STREET,SYLACAUGA,AL,35150,669,384,13.7,7.8,4.7,0.6,0.1,0.6,0.0,2045347,1460090,1838202,0.2,62,17774,77,141,243,265,119,319,64,0,0,,,1.95,22,31,12,13,51,36,39,23,42,50,,58,8,60,8,17
17086,ALABAMA HOMECARE,319A MCWILLIAMS AVENUE,CAMDEN,AL,36726,520,242,11.5,7.9,2.9,0.0,0.2,0.4,0.1,1252311,1024084,1296125,0.0,32,10082,75,89,153,123,119,82,158,0,0,,,1.87,15,29,11,8,52,36,25,18,55,45,,48,7,56,4,17
17088,FAYETTE MEDICAL CENTER HOMECARE,"102 2ND AVENUE, SE",FAYETTE,AL,35555,610,283,16.5,8.1,6.7,0.7,0.1,0.8,0.1,2048795,1550636,1954340,0.0,67,18512,76,101,182,190,93,251,30,0,0,,,2.12,22,35,15,16,52,39,46,32,46,53,,55,10,56,12,11
17089,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,"1912 ALABAMA HIGHWAY 157, 2ND FLOOR",CULLMAN,AL,35058,346,284,13.8,6.2,6.2,0.8,0.0,0.6,0.0,563585,796427,1001365,0.5,50,16040,76,93,191,221,63,281,0,0,,0,,1.72,20,19,8,15,42,33,24,35,40,65,,48,12,70,5,7
17090,GENTIVA HEALTH SERVICES,"12731 HIGHWAY 17, SUITE 3",GILBERTOWN,AL,36908,512,275,18.1,8.9,4.5,0.0,0.0,4.7,0.0,1396609,1089322,1374100,0.2,55,12921,76,91,184,172,103,131,141,0,0,,,1.84,17,32,7,11,41,37,25,21,52,58,,48,7,61,10,10
17091,HALE COUNTY HOSPITAL HOME HEALTH,506 GREENE STREET,GREENSBORO,AL,36744,469,192,16.5,6.3,1.3,0.0,0.1,8.7,0.0,638691,979510,1120144,0.0,54,11401,78,57,135,98,94,74,118,0,0,0,0,1.94,17,36,14,13,53,43,29,22,48,61,,49,6,,8,14
17092,MEDICAL CENTER HOME HEALTH,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,292,164,17.2,7.5,2.8,0.2,0.1,6.5,0.0,500647,576519,726417,0.0,41,10412,75,62,102,98,66,94,70,0,0,0,0,2.02,13,27,10,18,41,42,32,29,49,72,,43,4,50,8,15
17093,DEKALB REGIONAL HOME HEALTH,"1706 GLENN BOULEVARD, SUITE 3",FORT PAYNE,AL,35968,285,113,19.3,8.7,5.5,0.0,0.1,5.0,0.0,821128,649604,823181,0.0,,,75,36,77,56,57,109,,0,,0,0,1.83,19,32,9,10,51,29,44,34,48,53,,53,18,50,10,10
17094,CHEROKEE HOME HEALTH,"704 CHEROKEE PLAZA, SUITE 9",CENTRE,AL,35960,492,183,19.8,9.1,4.9,0.0,0.0,5.5,0.3,1421794,1087237,1376241,0.1,19,4469,76,73,110,127,56,170,11,0,,0,,2.15,19,37,7,15,55,46,45,37,47,57,,57,10,57,6,13
17095,ATHENS-LIMESTONE HOMECARE,1428 FREEMAN AVENUE,ATHENS,AL,35613,1074,519,14.5,8.2,4.0,1.2,0.3,0.7,0.1,3197001,2812155,3188937,0.0,68,21606,76,195,324,372,147,468,48,,,0,0,2.06,19,29,10,12,43,40,37,27,45,56,,48,16,63,8,11
17096,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,332,162,17.3,8.7,3.3,0.8,0.2,4.3,0.0,663262,665243,842033,0.0,56,14150,80,46,116,111,51,121,38,0,,0,,1.74,19,36,19,9,31,35,31,23,41,57,,48,14,47,9,15
17097,"CLAY COUNTY HOSPITAL HOME CARE, LLC",83825 HIGHWAY 9,ASHLAND,AL,36251,478,244,12.5,8.0,2.3,1.3,0.0,0.9,0.0,1226087,999872,1266787,0.0,56,15529,77,85,159,144,100,213,29,0,,0,,1.94,24,28,15,12,59,39,45,26,43,64,,62,7,57,5,15
17100,MARION REGIONAL HOMECARE,1186 MILITARY STREET SOUTH,HAMILTON,AL,35570,476,213,16.0,7.7,5.8,1.2,0.1,1.1,0.1,1539834,1164707,1472432,0.1,69,17282,77,75,138,148,65,209,,0,0,0,,2.01,18,34,12,12,54,40,48,32,41,59,,57,11,50,10,10
17101,HEALTH NOW HOME HEALTH,751 DERBY DRIVE,YORK,AL,36925,202,72,12.5,8.5,0.4,0.0,0.0,3.6,0.0,433568,325362,410140,0.0,,,72,27,45,37,35,13,58,0,0,,,1.62,11,28,17,14,36,32,33,19,53,64,,46,3,65,7,11
17102,ALABAMA HOMECARE,"607 WILSON AVENUE, SUITE 3",EUTAW,AL,35462,158,97,10.8,8.6,1.5,0.2,0.2,0.4,0.0,380167,338395,390752,0.0,17,5097,78,33,64,45,52,18,79,0,0,0,0,1.89,14,42,26,15,43,37,34,16,59,51,,38,3,65,10,13
17103,BRYAN W WHITFIELD MEM HOSP,HWY 80 E,DEMOPOLIS,AL,36732,534,247,15.4,8.9,1.7,0.0,0.0,4.8,0.0,756833,930254,1157820,0.1,87,21408,74,102,145,120,127,85,161,0,0,,,2.06,16,29,14,15,57,46,36,22,62,64,,53,6,55,9,14
17104,HIGHLANDS HOME HEALTH,309 PARKS AVENUE,SCOTTSBORO,AL,35768,503,226,18.4,8.5,3.3,2.1,0.2,4.3,0.0,970796,1125268,1418828,0.2,32,8663,76,86,140,129,97,221,,,,0,,1.97,23,41,13,13,54,41,38,44,47,54,,65,14,,10,11
17106,EVERGREEN HOME CARE,308 SOUTH MAIN STREET,EVERGREEN,AL,36401,273,152,15.8,7.9,3.1,0.0,0.0,4.8,0.0,453552,545912,690919,0.0,28,7108,76,56,96,78,74,84,68,0,0,0,0,1.67,15,35,7,9,47,28,45,18,51,47,,63,10,,7,16
17107,SUNCREST HOME HEALTH,222 7TH STREET SOUTH,CLANTON,AL,35045,873,492,18.0,7.4,5.2,1.8,1.1,2.6,0.1,2075030,2439581,2817630,0.2,50,14680,75,166,326,366,126,435,52,,,0,0,2.02,23,24,16,15,41,47,35,35,42,63,,61,13,60,8,12
17109,NORTHWEST HOME HEALTH HALEYVILLE,HIGHWAY 195 EAST PO BOX 780,HALEYVILLE,AL,35565,281,159,21.0,10.6,3.7,1.5,0.2,5.1,0.0,1238948,613772,777461,0.1,25,6751,76,50,109,90,69,155,,0,0,,,1.95,18,24,9,14,52,36,61,40,42,57,,59,13,74,6,12
17112,JACKSON MEDICAL CENTER HOME HEALTH,112 FOREST AVENUE,JACKSON,AL,36545,392,220,17.6,10.0,2.6,0.0,0.0,5.0,0.0,764699,750899,944651,0.5,26,7892,77,74,146,155,65,155,65,0,0,0,0,1.68,25,34,10,13,41,28,25,19,45,53,,50,12,54,4,15
17115,GADSDEN REGIONAL HOME HEALTH,82 INDUSTRIAL BOULEVARD,ATTALLA,AL,35954,513,271,16.1,8.6,4.5,0.5,0.1,2.4,0.1,1276242,1083008,1341687,0.1,50,13089,76,115,156,205,66,238,33,0,0,0,0,2.11,16,29,11,12,53,40,48,34,44,58,,62,11,57,10,13
17116,IVY CREEK HOME HEALTH OF ELMORE,15 CAMBRIDGE COURT,WETUMPKA,AL,36092,849,408,15.8,7.9,3.3,0.9,0.3,3.4,0.0,1630706,1939015,2361952,0.0,76,20028,80,139,269,322,86,312,88,,0,,,2.09,23,40,8,11,48,46,31,38,43,53,,55,20,,5,17
17117,LAKE MARTIN HOME HEALTH,"301 MARIARDEN ROAD, SUITE F - PO BOX 629",DADEVILLE,AL,36853,1807,607,11.3,7.4,1.5,0.8,0.1,1.5,0.0,2851983,3461471,4381114,0.0,94,25401,74,231,376,385,222,435,168,,,0,,1.95,13,30,11,9,45,39,43,25,44,51,,69,12,,4,13
17118,"AMEDISYS H H, A LAWRENCE MEDICAL CTR PARTNER","15190 COURT STREET, SUITE B",MOULTON,AL,35650,231,144,16.9,7.1,5.1,0.3,0.1,4.1,0.2,580151,514209,657294,0.0,81,17068,74,52,92,87,57,123,20,0,,0,,2.19,13,31,10,11,49,45,36,37,58,65,,59,9,62,6,8
17119,HGA HOMECARE OF HUNTSVILLE,"6767 OLD MADISON PIKE NW - BUILDING 4, SUITE 400",HUNTSVILLE,AL,35806,1875,1193,14.9,6.8,5.1,1.8,0.5,0.5,0.1,5918409,5195145,5873590,0.0,276,89741,77,412,781,915,278,940,229,,,,,2.11,19,27,13,16,41,46,30,32,45,61,,52,13,63,7,14
17121,GENTIVA HEALTH SERVICES,1309 ANTIOCH ROAD,ANDALUSIA,AL,36420,893,494,18.7,7.9,6.6,1.4,0.2,2.6,0.0,2853744,2308604,2943474,0.3,101,23500,77,189,305,319,175,445,47,,,0,0,1.98,18,34,9,12,43,36,38,27,50,59,,57,14,65,9,19
17123,LANIER HOME HEALTH SERVICES,1806 44TH ST.,VALLEY,AL,36854,325,230,15.3,8.0,4.1,0.0,0.2,3.1,0.0,703517,685690,872893,0.0,40,10849,78,69,161,150,80,166,61,0,,0,,2.07,18,32,12,10,54,47,52,22,49,53,,66,16,67,7,15
17124,DALE MEDICAL CTR HOME HEALTH,126 HOSPITAL AVENUE,OZARK,AL,36360,274,202,22.3,11.2,5.7,0.0,0.0,5.4,0.1,705260,617617,775723,1.2,22,5092,76,75,127,136,66,161,38,0,,,,1.79,17,31,10,14,42,44,32,32,43,60,,53,16,57,4,7
17125,KELLER HOME CARE,217 HOSPITAL ROAD,RED BAY,AL,35582,1070,462,14.5,8.0,3.4,2.5,0.1,0.5,0.0,3108694,2471886,3081843,0.0,135,40712,77,177,285,332,130,418,42,0,0,,,1.90,17,32,10,12,41,36,37,27,45,68,,55,11,64,9,12
17127,SOUTH BALDWIN REGIONAL HOME HEALTH,1605 NORTH  MCKENZIE STREET,FOLEY,AL,36535,474,308,13.8,7.5,4.2,0.4,0.4,1.1,0.2,1086118,995920,1265542,0.0,40,11149,78,127,181,262,46,296,12,0,0,0,0,1.91,25,30,12,18,39,41,40,29,38,58,,57,14,66,4,12
17128,MEDICAL CENTERS HOMECARE,11687 US HWY 431,GUNTERSVILLE,AL,35976,1645,728,16.1,8.0,4.9,1.9,0.2,1.0,0.0,5284953,4036487,5104036,0.0,236,60569,77,255,473,483,245,707,13,,,,,2.13,21,34,9,12,51,42,41,34,44,54,,58,12,63,7,19
17129,HOMECARE OF EAST ALABAMA MEDICAL CENTER,"665 OPELIKA ROAD, SUITE 300",AUBURN,AL,36830,1417,842,12.8,6.7,3.7,1.4,0.2,0.8,0.0,3881948,3218781,3994974,0.1,204,63056,76,313,529,573,269,543,290,,,0,,2.00,21,24,12,16,41,42,31,15,46,61,,59,11,53,4,13
17130,INFIRMARY HOMECARE OF GROVE HILL,P O BOX 1207,GROVE HILL,AL,36451,755,409,13.9,8.2,4.5,0.0,0.1,1.2,0.0,2166545,1672018,2118553,0.0,92,23320,76,162,247,245,164,245,158,,0,,,2.00,23,31,8,11,51,32,31,15,50,53,,55,7,54,6,11
17132,BROOKDALE HOME HEALTH BIRMINGHAM,"1104 2ND AVE EAST, SUITE C",ONEONTA,AL,35121,208,151,16.0,8.0,5.1,1.6,0.6,0.6,0.3,492809,540148,641625,0.0,18,5982,79,51,100,136,15,150,,0,0,0,,1.93,19,39,17,7,48,42,38,40,44,54,,50,19,68,11,11
17134,LHC HOMECARE OF SOUTH ALABAMA,700 BRANTLEY STREET,OPP,AL,36467,1631,698,14.8,8.5,4.7,0.3,0.3,0.9,0.0,5011431,3755934,4744000,0.3,162,42180,76,242,456,425,273,605,89,,,0,,1.72,20,33,11,14,42,30,37,26,43,54,,55,16,65,11,16
